Animale,Autorul anunțului,Balcon/ lojie,Compartimentare,Copii,Dezvoltator,Etaj,Fond locativ,Grup sanitar,Inălțimea tavanelor,Living,Loc de parcare,Număr de camere,Număr de etaje,Starea apartamentului,Suprafață bucătărie,Suprafață locativă,Suprafață totală,Tip clădire,price,region
,Agenție,1,,,,6,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 3 camere,13,Variantă albă,,88 m²,88 m²,Cărămidă,105 600€,Chișinău_Telecentru
,Agenție,,,,,5,Secundar,,0 cm,,,Apartament cu 1 cameră,6,Euroreparație,0 m²,0 m²,24 m²,,38 900€,Chișinău_Centru
,Agenție,,,,,8,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 3 camere,9,Variantă albă,,,89 m²,,106 800€,Chișinău_Durlești
,Persoană fizică,2,,,,8,Construcţii noi,,,,,Apartament cu 4 camere,10,Euroreparație,,,94 m²,,155 000€,Chișinău_Ciocana
,Dezvoltator imobiliar,1,,,,3,Construcţii noi,,,,Subterană,Apartament cu 3 camere,7,Variantă albă,,,69 m²,,66 930€,Comrat_Centru
,Agenție,,,,,1,Secundar,1,,,,Apartament cu 3 camere,1,Reparație cosmetică,,,45 m²,,110 000€,Chișinău_Centru
,Agenție,,,,,10,Construcţii noi,2,,Apartament cu living,,Apartament cu 3 camere,10,Euroreparație,,,161 m²,,350 000€,Chișinău_Buiucani
,Dezvoltator imobiliar,,,,,1,Construcţii noi,,,,,Apartament cu 1 cameră,8,,,,49 m²,,95 000€,Chișinău_Telecentru
,Agenție,1,,,,2,Secundar,1,,,Deschis,Apartament cu 2 camere,5,Euroreparație,,,47 m²,,86 700€,Chișinău_Botanica
,Agenție,,,,,1,Secundar,,,Apartament cu living,,Apartament cu 1 cameră,4,,,,44 m²,,83 900€,Chișinău_Râșcani
,Agenție,1,Individuală,,,Penthouse,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 4 camere,10,Variantă albă,20 m²,162 m²,162 m²,Cărămidă,162 000€,Chișinău_Durlești
,Agenție,,Ms (serie  moldovenească),,,6,Secundar,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,9,Euroreparație,,,35 m²,,79 900€,Chișinău_Botanica
,Agenție,,,,,12,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,14,Variantă albă,,,126 m²,,151 200€,Chișinău_Râșcani
