Animale,Autorul anunțului,Balcon/ lojie,Compartimentare,Copii,Dezvoltator,Etaj,Fond locativ,Grup sanitar,Inălțimea tavanelor,Living,Loc de parcare,Număr de camere,Număr de etaje,Starea apartamentului,Suprafață bucătărie,Suprafață locativă,Suprafață totală,Tip clădire,price,region
,Agenție,1,,,,3,Secundar,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,5,Euroreparație,,,33 m²,,73 900€,Chișinău_Telecentru
,Agenție,2,,,,12,Construcţii noi,2,,,,Apartament cu 3 camere,13,Euroreparație,,,108 m²,,205 000€,Chișinău_Botanica
,Agenție,1,,,,2,Secundar,1,,Apartament cu living,Deschis,Apartament cu 2 camere,5,Euroreparație,,,48 m²,,110 000€,Chișinău_Botanica
,Agenție,2,Ms (serie  moldovenească),,,4,Secundar,2,,,Deschis,Apartament cu 4 camere,16,Reparație cosmetică,20 m²,,100 m²,Monolit,115 000€,Chișinău_Centru
Fără animale,Persoană fizică,,,Se acceptă copii,,3,Construcţii noi,,,,,Apartament cu 2 camere,4,,,,85 m²,,118 000€,Ialoveni_Centru
,Dezvoltator imobiliar,,,,,4,Secundar,,,Apartament cu living,,Apartament cu 2 camere,9,,,,55 m²,,92 500€,Chișinău_Poșta Veche
Se acceptă animale,Dezvoltator imobiliar,1,Individuală,Se acceptă copii,,5,Secundar,1,260 cm,,Deschis,Apartament cu 2 camere,5,Euroreparație,6 m²,41 m²,57 m²,Cotileț,45 000€,Bălți_5 cartier
,Agenție,2,,,,1,Secundar,1,,,,Apartament cu 2 camere,5,Are nevoie de reparație,,,45 m²,Cotileț,40 800€,Bălți_BAM
,Agenție,,,,Nicons,3,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,10,Variantă albă,,,43 m²,,47 500€,Chișinău_Durlești
,Persoană fizică,,102,,,4,Secundar,1,0 cm,,,Apartament cu 3 camere,5,Fără reparație,8 m²,0 m²,68 m²,Cotileț,88 000€,Chișinău_Botanica
,Agenție,,Individuală,,Lagmar Impex,12,Construcţii noi,1,,,,Apartament cu 1 cameră,17,Euroreparație,16 m²,20 m²,50 m²,Cărămidă,93 000€,Chișinău_Râșcani
,Agenție,2,,,,11,Construcţii noi,2,0 cm,,,Apartament cu 2 camere,11,Euroreparație,0 m²,0 m²,65 m²,,126 900€,Chișinău_Râșcani
,Agenție,2,,,,12,Construcţii noi,2,,,Subterană,Apartament cu 2 camere,15,Euroreparație,,,80 m²,,385 900€,Chișinău_Centru
,Persoană fizică,,,,,1,Secundar,2,250 cm,,Deschis,Apartament cu 5 camere sau mai multe,1,Reparație cosmetică,9 m²,75 m²,75 m²,Cărămidă,450 000€,Chișinău_Centru
,Agenție,2,,,,5,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,11,Variantă albă,,,84 m²,,103 800€,Codru_Centru
,Agenție,Nu,,,,3,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 1 cameră,10,Euroreparație,,,53 m²,,98 000€,Chișinău_Botanica
,Agenție,1,135,,,8,Secundar,2,,Apartament fără living,Deschis,Apartament cu 2 camere,9,Euroreparație,,,55 m²,Panou,89 900€,Chișinău_Poșta Veche
,Agenție,1,,,,2,Construcţii noi,,300 cm,Apartament cu living,Subterană,Apartament cu 2 camere,8,Euroreparație,0 m²,0 m²,131 m²,,500 000€,Chișinău_Centru
,Agenție,,,,,5,Secundar,,,Apartament cu living,,Apartament cu 1 cameră,5,Design individual,,,55 m²,Cotileț,130 000€,Chișinău_Centru
,Dezvoltator imobiliar,,,,,12,Construcţii noi,,,,,Apartament cu 2 camere,15,Variantă albă,,,63 m²,Combinat,75 000€,Chișinău_Poșta Veche
,Agenție,,,,,11,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,12,,,,51 m²,,79 900€,Codru_Centru
,Persoană fizică,2,,,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,5,Variantă albă,,,46 m²,,55 500€,Bacioi_Centru
,Persoană fizică,,,,,6,Construcţii noi,2,,,,Apartament cu 3 camere,11,,,,78 m²,,140 000€,Chișinău_Telecentru
,Agenție,1,Individuală,,,8,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,10,Variantă albă,,,70 m²,,99 000€,Chișinău_Botanica
,Agenție,1,Individuală,,,9,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,10,Euroreparație,,,153 m²,,212 000€,Chișinău_Centru
,Dezvoltator imobiliar,,,,,8,Construcţii noi,1,,Apartament cu living,,Apartament cu 1 cameră,8,Variantă albă,,,54 m²,Beton,49 140€,Comrat_Centru
Se acceptă animale,Agenție,1,,Se acceptă copii,,1,Secundar,2,,,Deschis,Apartament cu 2 camere,5,Reparație cosmetică,,,48 m²,Cotileț,71 000€,Chișinău_Buiucani
,Dezvoltator imobiliar,,,,,9,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,14,Euroreparație,,,76 m²,,245 000€,Chișinău_Centru
,Persoană fizică,,,,Dansicons,2,Construcţii noi,,,,,Apartament cu 2 camere,10,Variantă albă,,,75 m²,Combinat,126 500€,Chișinău_Ciocana
,Dezvoltator imobiliar,,,,,5,Construcţii noi,,,,Deschis,Apartament cu 5 camere sau mai multe,5,Construcție nefinisată,,2430 m²,3515 m²,Cotileț,385 000€,Cupcini_Centru
,Dezvoltator imobiliar,,,,Sky House,3,Construcţii noi,,,,Subterană,Apartament cu 3 camere,9,Variantă albă,,,73 m²,,109 500€,Comrat_Centru
,Agenție,1,,,,6,Construcţii noi,1,0 cm,,,Apartament cu 1 cameră,13,Variantă albă,0 m²,0 m²,58 m²,,119 900€,Chișinău_Buiucani
,Persoană fizică,1,,,Sky House,2,Construcţii noi,2,,Apartament cu living,,Apartament cu 3 camere,10,Euroreparație,,75 m²,75 m²,Cărămidă,133 000€,Bacioi_Periferie
,Persoană fizică,,Ms (serie  moldovenească),,,3,Secundar,2,,Apartament cu living,,Apartament cu 2 camere,5,Euroreparație,,,50 m²,,86 000€,Chișinău_Centru
,Dezvoltator imobiliar,,Individuală,,Inamstro,2,Construcţii noi,1,270 cm,Apartament cu living,Subterană,Apartament cu 1 cameră,7,Euroreparație,16 m²,,47 m²,Cărămidă,137 000€,Chișinău_Buiucani
,Agenție,,,,,3,Construcţii noi,2,,Apartament cu living,,Apartament cu 2 camere,9,Variantă albă,,,74 m²,,74 000€,Strășeni_Centru
,Agenție,1,,,,2,Construcţii noi,2,,,,Apartament cu 2 camere,7,,,,66 m²,,113 500€,Chișinău_Ciocana
,Agenție,,,,,1,Secundar,,,,,Apartament cu 2 camere,5,,,,53 m²,,121 900€,Chișinău_Ciocana
,Agenție,,,,,6,Secundar,1,,,,Apartament cu 3 camere,6,Euroreparație,,,65 m²,,105 000€,Chișinău_Râșcani
,Agenție,1,Individuală,,,8,Construcţii noi,3,,,Deschis,Apartament cu 4 camere,15,Euroreparație,,,150 m²,,450 000€,Chișinău_Centru
,Persoană fizică,,,,,8,Construcţii noi,,,,,Apartament cu 3 camere,9,,,,117 m²,,1€,Chișinău_Buiucani
,Agenție,,,,Exfactor-grup,11,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 2 camere,12,Euroreparație,,,65 m²,,169 000€,Chișinău_Ciocana
,Agenție,1,,,,17,Construcţii noi,1,,,,Apartament cu 2 camere,18,Variantă albă,,,57 m²,,93 390€,Chișinău_Botanica
,Agenție,,,,,5,Construcţii noi,,,,,Apartament cu 2 camere,7,,,,36 m²,,44 640€,Chișinău_Buiucani
,Dezvoltator imobiliar,,,,,8,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,8,,,,42 m²,,95 900€,Chișinău_Buiucani
,Agenție,1,Individuală,,Exfactor-grup,9,Construcţii noi,1,280 cm,,Deschis,Apartament cu 1 cameră,10,Variantă albă,0 m²,47 m²,47 m²,Cărămidă,72 500€,Chișinău_Ciocana
,Agenție,1,Individuală,,,1,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,5,Euroreparație,,,63 m²,,119 560€,Chișinău_Ciocana
,Persoană fizică,2,,,Sahin Construction,7,Construcţii noi,,3 cm,Apartament cu living,Subterană,Apartament cu 2 camere,7,Euroreparație,,,85 m²,Cărămidă,255 000€,Chișinău_Centru
,Agenție,2,,,,Penthouse,Construcţii noi,2,370 cm,Apartament cu living,Subterană,Apartament cu 1 cameră,16,Variantă albă,,,100 m²,Monolit,150 000€,Chișinău_Râșcani
,Agenție,Nu,,,,1,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,16,Euroreparație,,,33 m²,,74 000€,Chișinău_Botanica
,Persoană fizică,2,Individuală,,,2,Secundar,2,,Apartament cu living,Deschis,Apartament cu 2 camere,7,Design individual,,,79 m²,,179 500€,Chișinău_Centru
,Agenție,2,,,Estate Invest Company,3,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,9,Construcție nefinisată,,,77 m²,Cărămidă,102 500€,Chișinău_Ciocana
,Agenție,,,,Basconslux,1,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,12,Euroreparație,,,52 m²,,123 000€,Chișinău_Ciocana
,Agenție,,,,,9,Construcţii noi,,,,,Apartament cu 4 camere,10,,,,84 m²,,136 000€,Chișinău_Ciocana
,Agenție,3,Ms (serie  moldovenească),,,6,Secundar,2,,Apartament fără living,Deschis,Apartament cu 4 camere,9,Reparație cosmetică,,,87 m²,Panou,122 000€,Chișinău_Râșcani
,Agenție,1,Individuală,,Lagmar Impex,4,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,13,Euroreparație,,,43 m²,Combinat,93 500€,Chișinău_Râșcani
,Agenție,1,,,,7,Construcţii noi,2,,,,Apartament cu 3 camere,15,Euroreparație,,,90 m²,,244 900€,Chișinău_Ciocana
,Agenție,1,,,,1,Secundar,1,,,Deschis,Apartament cu 3 camere,5,Reparație cosmetică,,,65 m²,,96 500€,Chișinău_Botanica
,Dezvoltator imobiliar,,Individuală,,,3,Construcţii noi,,,Apartament fără living,,Apartament cu 1 cameră,7,Euroreparație,12 m²,18 m²,40 m²,,400€,Chișinău_Botanica
Fără animale,Persoană fizică,1,,Cu acordul stăpânului,,4,Secundar,,,,Deschis,Apartament cu 2 camere,4,,,,72 m²,,690€,Chișinău_Durlești
,Agenție,1,,,,6,Construcţii noi,1,,,,Apartament cu 1 cameră,10,Variantă albă,,,56 m²,,62 000€,Chișinău_Durlești
,Persoană fizică,1,,,,5,Secundar,2,,,,Apartament cu 3 camere,9,,,,72 m²,,99 500€,Chișinău_Buiucani
,Persoană fizică,Nu,Garsonieră,,Art Urban Grup,4,Secundar,1,220 cm,Apartament fără living,Deschis,Apartament cu 1 cameră,5,Reparație cosmetică,6 m²,18 m²,28 m²,Cotileț,12 000€,Bender/Tighina_Borisovka
,Persoană fizică,Nu,Individuală,,,4,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,9,Euroreparație,,58 m²,58 m²,,134 900€,Chișinău_Ciocana
,Agenție,,,,,3,Secundar,,,Apartament cu living,,Apartament cu 2 camere,5,Euroreparație,,,43 m²,,92 500€,Chișinău_Buiucani
,Dezvoltator imobiliar,2,,,,4,Construcţii noi,2,290 cm,Apartament cu living,Subterană,Apartament cu 2 camere,4,Variantă albă,20 m²,,72 m²,Beton celular,71 670€,Chișinău_Telecentru
,Agenție,Nu,Individuală,,,3,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,7,Euroreparație,,,50 m²,Beton celular,115 000€,Dumbrava_Periferie
Fără animale,Agenție,1,143,Se acceptă copii,,4,Secundar,2,,,Deschis,Apartament cu 2 camere,9,Fără reparație,,,51 m²,,93 500€,Chișinău_Râșcani
,Agenție,Nu,Individuală,,,11,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,12,Variantă albă,,,49 m²,,72 000€,Chișinău_Telecentru
,Dezvoltator imobiliar,1,Individuală,,,13,Construcţii noi,3,,,Subterană,Apartament cu 3 camere,13,Variantă albă,,100 m²,127 m²,Cărămidă,253 500€,Chișinău_Centru
,Agenție,1,Individuală,,,3,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,3,Variantă albă,,46 m²,47 m²,Cărămidă,66 960€,Chișinău_Poșta Veche
,Persoană fizică,2,143,,A-casa,2,Construcţii noi,1,250 cm,Apartament cu living,Garaj,Apartament cu 3 camere,9,Euroreparație,12 m²,65 m²,76 m²,Bloc,89 500€,Ungheni_Centru
,Dezvoltator imobiliar,,,,Exfactor-grup,3,Construcţii noi,2,,,Subterană,Apartament cu 3 camere,9,Euroreparație,,,88 m²,Cotileț,250 000€,Chișinău_Ciocana
,Dezvoltator imobiliar,,,,Dansicons,2,Construcţii noi,1,,,,Apartament cu 1 cameră,11,Euroreparație,,,37 m²,,90 000€,Chișinău_Buiucani
,Agenție,1,Individuală,,Solomon Construct Imobil,5,Construcţii noi,1,,,Deschis,Apartament cu 3 camere,11,Euroreparație,,,85 m²,,170 000€,Chișinău_Botanica
,Agenție,1,,,,4,Construcţii noi,1,,,,Apartament cu 3 camere,10,Euroreparație,,,76 m²,,270 000€,Chișinău_Centru
,Agenție,,,,,10,Construcţii noi,,,,,Apartament cu 2 camere,7,,,67 m²,67 m²,,139 500€,Chișinău_Botanica
,Persoană fizică,,,,Exfactor-grup,3,Construcţii noi,2,0 cm,Apartament cu living,,Apartament cu 3 camere,10,Design individual,0 m²,0 m²,90 m²,,250 000€,Chișinău_Ciocana
,Dezvoltator imobiliar,,,,,2,Secundar,,,,,Apartament cu 4 camere,12,,,,100 m²,,159 900€,Chișinău_Botanica
,Persoană fizică,2,,,,7,Secundar,1,,,Deschis,Apartament cu 3 camere,10,Euroreparație,14 m²,66 m²,66 m²,Bloc,75 000€,Bălți_BAM
,Agenție,3,,,,5,Construcţii noi,3,,Apartament cu living,,Apartament cu 3 camere,10,Euroreparație,,,173 m²,Combinat,350 000€,Chișinău_Râșcani
,Agenție,1,,,Exfactor-grup,12,Construcţii noi,1,,Apartament cu living,,Apartament cu 2 camere,12,Euroreparație,,,75 m²,,250 000€,Chișinău_Ciocana
,Agenție,1,Individuală,,,12,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,24,Construcție nefinisată,,,81 m²,Cărămidă,153 000€,Chișinău_Râșcani
,Agenție,1,Individuală,,Exfactor-grup,8,Construcţii noi,2,,Apartament cu living,,Apartament cu 1 cameră,10,Euroreparație,,,47 m²,Combinat,124 500€,Chișinău_Ciocana
,Persoană fizică,,,,Exfactor-grup,8,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,12,,,,105 m²,,285 000€,Chișinău_Botanica
,Dezvoltator imobiliar,,,,,4,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,5,Variantă albă,,,69 m²,,52 500€,Bălți_Molodova
,Dezvoltator imobiliar,,,,,9,Construcţii noi,3,,,,Apartament cu 5 camere sau mai multe,10,Variantă albă,,,195 m²,,249 517€,Chișinău_Poșta Veche
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 2 camere,9,Variantă albă,,,67 m²,Cărămidă,87 000€,Chișinău_Botanica
Se acceptă animale,Agenție,1,,Se acceptă copii,,1,Secundar,2,,,Deschis,Apartament cu 2 camere,5,Reparație cosmetică,,,48 m²,Cotileț,71 000€,Chișinău_Buiucani
,Agenție,2,,,,5,Secundar,2,250 cm,,Deschis,Apartament cu 2 camere,5,Variantă albă,,55 m²,55 m²,Cotileț,24 500€,Sîngerei_Centru
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 1 cameră,9,Variantă albă,,,49 m²,Cărămidă,67 000€,Chișinău_Botanica
,Agenție,,,,,3,Secundar,,,,,Apartament cu 2 camere,9,,,,60 m²,,120 900€,Chișinău_Ciocana
Se acceptă animale,Agenție,1,,Se acceptă copii,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,12,Euroreparație,,,56 m²,,135 000€,Chișinău_Sculeni
,Persoană fizică,1,Ms (serie  moldovenească),,,8,Secundar,,,Apartament cu living,,Apartament cu 2 camere,10,Fără reparație,,56 m²,56 m²,Bloc,82 000€,Chișinău_Ciocana
,Dezvoltator imobiliar,,,,,7,Secundar,,0 cm,,,Apartament cu 2 camere,7,,0 m²,0 m²,46 m²,,69 000€,Chișinău_Buiucani
,Agenție,1,,,,7,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,10,Euroreparație,,,40 m²,,85 900€,Chișinău_Telecentru
,Dezvoltator imobiliar,2,,,Astercon,4,Construcţii noi,2,275 cm,Apartament fără living,Garaj,Apartament cu 2 camere,6,Variantă albă,15 m²,,70 m²,Beton celular,99 204€,Stăuceni_Centru
,Agenție,1,Individuală,,Inamstro,3,Construcţii noi,1,,,Deschis,Apartament cu 3 camere,12,Euroreparație,,,101 m²,Combinat,234 000€,Chișinău_Ciocana
,Agenție,,,,,8,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 3 camere,9,Euroreparație,0 m²,0 m²,150 m²,Cotileț,257 000€,Chișinău_Botanica
,Agenție,1,,,,5,Construcţii noi,1,,,,Apartament cu 2 camere,10,Euroreparație,,,64 m²,,155 900€,Chișinău_Râșcani
,Agenție,,,,Solomon Construct Imobil,5,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,10,Euroreparație,,,85 m²,,169 900€,Chișinău_Botanica
,Dezvoltator imobiliar,1,,,Astercon,Mansardă,Construcţii noi,1,3 cm,Apartament cu living,Garaj,Apartament cu 2 camere,9,Euroreparație,13 m²,,65 m²,Cotileț,117 000€,Chișinău_Buiucani
,Agenție,,,,,5,Secundar,2,,,Deschis,Apartament cu 3 camere,5,Reparație cosmetică,,,64 m²,,83 900€,Chișinău_Botanica
,Agenție,,Individuală,,,3,Secundar,1,,,Deschis,Apartament cu 1 cameră,5,Euroreparație,,,20 m²,,39 000€,Chișinău_Botanica
Se acceptă animale,Persoană fizică,,,Se acceptă copii,,2,Construcţii noi,,,,,Apartament cu 1 cameră,4,,,,50 m²,,699MDL,Chișinău_Telecentru
,Agenție,Nu,Individuală,,,6,Secundar,1,,,Deschis,Apartament cu 1 cameră,15,Euroreparație,,,40 m²,Combinat,77 500€,Chișinău_Buiucani
,Persoană fizică,3,,,,2,Secundar,2,245 cm,,Deschis,Apartament cu 4 camere,10,Euroreparație,,,90 m²,Beton,103 000€,Bălți_BAM
,Dezvoltator imobiliar,,,,,3,Construcţii noi,,,,,Apartament cu 3 camere,3,,,,100 m²,,180 000€,Chișinău_Botanica
,Agenție,1,Individuală,,,5,Secundar,1,,,Deschis,Apartament cu 3 camere,5,Fără reparație,,,70 m²,Cotileț,112 000€,Chișinău_Centru
,Agenție,1,,,,2,Construcţii noi,2,,,,Apartament cu 2 camere,13,Variantă albă,,,68 m²,,102 000€,Chișinău_Poșta Veche
,Agenție,,,,,5,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 2 camere,14,Design individual,0 m²,0 m²,60 m²,,134 900€,Chișinău_Centru
,Agenție,1,,,,5,Secundar,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,5,Euroreparație,,,41 m²,Cotileț,56 900€,Ialoveni_Centru
,Dezvoltator imobiliar,1,,,Braus Imobiliare,7,Construcţii noi,1,0 cm,Apartament cu living,,Apartament cu 1 cameră,10,Variantă albă,0 m²,0 m²,53 m²,,67 310€,Chișinău_Telecentru
,Agenție,2,,,,7,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 2 camere,12,Euroreparație,,,58 m²,Cărămidă,149 500€,Chișinău_Râșcani
,Agenție,,,,,3,Secundar,,,,,Apartament cu 1 cameră,5,,,,17 m²,,28 900€,Chișinău_Ciocana
,Agenție,1,,,,5,Secundar,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,5,Euroreparație,,,35 m²,,78 000€,Chișinău_Râșcani
,Agenție,1,,,,4,Construcţii noi,1,,,,Apartament cu 1 cameră,15,Variantă albă,,,54 m²,,95 500€,Chișinău_Râșcani
,Agenție,Nu,,,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,12,Euroreparație,,,50 m²,,145 000€,Chișinău_Buiucani
,Agenție,1,,,Exfactor-grup,14,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,14,Variantă albă,,,73 m²,,131 000€,Chișinău_Buiucani
,Agenție,1,,,,9,Construcţii noi,1,,Apartament cu living,,Apartament cu 1 cameră,10,Euroreparație,,,48 m²,,63 000€,Bălți_BAM
,Persoană fizică,1,Garsonieră,,,6,Secundar,1,,,Deschis,O cameră,9,Reparație cosmetică,,,19 m²,,28 500€,Chișinău_Râșcani
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 2 camere,9,Variantă albă,,,67 m²,Cărămidă,83 000€,Chișinău_Botanica
,Dezvoltator imobiliar,1,,,,2,Construcţii noi,2,277 cm,,Garaj,Apartament cu 2 camere,7,Variantă albă,14 m²,0 m²,63 m²,Monolit,64 000€,Cricova_Centru
,Agenție,1,,,,2,Secundar,1,,,,Apartament cu 3 camere,5,Euroreparație,,,63 m²,Cotileț,67 500€,Bălți_Centru
,Persoană fizică,Nu,Pe pămănt,,,1,Secundar,1,0 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,2,Euroreparație,0 m²,0 m²,38 m²,Cotileț,59 000€,Micăuți_Centru
,Agenție,Nu,Garsonieră,,,7,Secundar,1,,,Deschis,Apartament cu 1 cameră,9,Reparație cosmetică,,,34 m²,Panou,57 900€,Chișinău_Ciocana
,Dezvoltator imobiliar,,,,,7,Construcţii noi,2,280 cm,,Deschis,Apartament cu 3 camere,9,Variantă albă,20 m²,50 m²,73 m²,,85 900€,Chișinău_Durlești
,Agenție,1,,,,5,Construcţii noi,1,,,,Apartament cu 2 camere,9,Euroreparație,,,57 m²,,191 900€,Chișinău_Centru
,Agenție,,Individuală,,,13,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,13,Euroreparație,,,44 m²,,116 000€,Chișinău_Botanica
,Agenție,2,Individuală,,,4,Construcţii noi,2,,,Garaj,Apartament cu 4 camere,7,Euroreparație,,200 m²,200 m²,Cotileț,378 000€,Chișinău_Râșcani
,Agenție,Nu,,,,10,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,17,Euroreparație,,,47 m²,Beton,63 000€,Stăuceni_Centru
,Persoană fizică,,,,,1,Construcţii noi,,4 cm,,,Apartament cu 1 cameră,4,Euroreparație,,,24 m²,Beton,45 000€,Chișinău_Botanica
,Agenție,1,,,,9,Construcţii noi,2,0 cm,,,Apartament cu 3 camere,12,Euroreparație,0 m²,0 m²,156 m²,,370 000€,Chișinău_Botanica
,Agenție,1,,,,1,Construcţii noi,1,,,,Apartament cu 2 camere,9,Euroreparație,,,55 m²,,95 000€,Ialoveni_Centru
,Agenție,,,,,10,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,10,Euroreparație,,72 m²,112 m²,,275 000€,Chișinău_Buiucani
,Agenție,1,Ms (serie  moldovenească),,,10,Secundar,2,,Apartament cu living,,Apartament cu 2 camere,11,Euroreparație,,,50 m²,,99 900€,Chișinău_Ciocana
,Agenție,1,Individuală,,,5,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,9,Euroreparație,,,20 m²,,26 900€,Chișinău_Râșcani
,Agenție,1,,,,9,Construcţii noi,2,,,,Apartament cu 2 camere,10,Euroreparație,,,89 m²,,209 000€,Chișinău_Ciocana
,Persoană fizică,1,,,,5,Secundar,1,270 cm,,Deschis,Apartament cu 1 cameră,5,Reparație cosmetică,,33 m²,38 m²,Cotileț,61 500€,Chișinău_Buiucani
,Persoană fizică,,,,,3,Construcţii noi,2,,Apartament cu living,,Apartament cu 2 camere,9,Euroreparație,,,822 m²,Cărămidă,235 000€,Chișinău_Centru
Fără animale,Persoană fizică,,Ms (serie  moldovenească),Se acceptă copii,,4,Secundar,1,2700 cm,,Deschis,Apartament cu 2 camere,9,Euroreparație,9 m²,50 m²,65 m²,Bloc,600€,Chișinău_Botanica
,Dezvoltator imobiliar,1,Individuală,,Astercon,1,Construcţii noi,2,275 cm,Apartament cu living,Garaj,Apartament cu 4 camere,8,Variantă albă,13 m²,1 m²,115 m²,Cotileț,166 750€,Chișinău_Durlești
,Dezvoltator imobiliar,,,,,6,Secundar,,,,,Apartament cu 2 camere,9,,,,65 m²,,92 900€,Chișinău_Ciocana
,Agenție,4 și mai multe,,,,Penthouse,Construcţii noi,3,,Apartament cu living,Subterană,Apartament cu 3 camere,16,Variantă albă,,,215 m²,Monolit,320 000€,Chișinău_Râșcani
,Agenție,,,,,2,Construcţii noi,,,,,Apartament cu 1 cameră,6,,,,34 m²,,29 240€,Chișinău_Telecentru
,Dezvoltator imobiliar,,,,,19,Construcţii noi,,,,,Apartament cu 3 camere,21,,,,95 m²,,153 000€,Chișinău_Ciocana
,Persoană fizică,1,Individuală,,,8,Secundar,1,,Apartament cu living,Subterană,Apartament cu 2 camere,9,Euroreparație,12 m²,,89 m²,Cărămidă,185 000€,Chișinău_Centru
,Agenție,,,,,9,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 3 camere,10,Design individual,,,95 m²,,219 000€,Chișinău_Ciocana
Se acceptă animale,Agenție,2,Individuală,Se acceptă copii,,12,Construcţii noi,2,300 cm,Apartament fără living,Subterană,Apartament cu 2 camere,16,Euroreparație,12 m²,79 m²,79 m²,Combinat,141 500€,Chișinău_Râșcani
,Dezvoltator imobiliar,,,,,11,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,21,Euroreparație,,,52 m²,,128 500€,Chișinău_Ciocana
,Agenție,,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,9,,,,76 m²,,255 000€,Chișinău_Sculeni
,Persoană fizică,,,,,9,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,10,Variantă albă,,,81 m²,,880€,Soroca_Centru
,Dezvoltator imobiliar,1,,,Lagmar Impex,5,Construcţii noi,1,,Apartament cu living,,Apartament cu 1 cameră,14,Variantă albă,,,47 m²,,66 215€,Chișinău_Poșta Veche
,Dezvoltator imobiliar,,,,Dansicons,4,Construcţii noi,,,,,Apartament cu 2 camere,6,Variantă albă,,,63 m²,,57 300€,Orhei_Centru
,Persoană fizică,,,,,11,Construcţii noi,,,,,Apartament cu 3 camere,12,Euroreparație,,,113 m²,,265 000€,Chișinău_Botanica
,Agenție,,,,,1,Construcţii noi,,,,,Apartament cu 1 cameră,3,Variantă albă,,,47 m²,Cărămidă,99 000€,Chișinău_Buiucani
,Agenție,,,,Exfactor-grup,2,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,16,,,,63 m²,,155 900€,Chișinău_Botanica
,Agenție,,,,,3,Construcţii noi,1,,,,Apartament cu 2 camere,5,Euroreparație,,,50 m²,Cotileț,45 500€,Bugeac_Periferie
,Agenție,,,,,16,Secundar,,,,,Apartament cu 2 camere,16,,,,40 m²,,70 000€,Chișinău_Buiucani
,Dezvoltator imobiliar,1,,,,5,Construcţii noi,2,,,Deschis,Apartament cu 1 cameră,12,Variantă albă,,,57 m²,,67 500€,Chișinău_Botanica
Se acceptă animale,Agenție,Nu,,Se acceptă copii,,Demisol,Secundar,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,1,Euroreparație,,,40 m²,,69 900€,Chișinău_Centru
,Agenție,Nu,,,,5,Construcţii noi,1,,,Subterană,Apartament cu 3 camere,7,Euroreparație,,,60 m²,,165 000€,Chișinău_Centru
,Agenție,,,,,10,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,10,Euroreparație,,,64 m²,,146 900€,Chișinău_Telecentru
