Animale,Autorul anunțului,Balcon/ lojie,Compartimentare,Copii,Dezvoltator,Etaj,Fond locativ,Grup sanitar,Inălțimea tavanelor,Living,Loc de parcare,Număr de camere,Număr de etaje,Starea apartamentului,Suprafață bucătărie,Suprafață locativă,Suprafață totală,Tip clădire,price
,Agenție,1,,,NG Invest,3,Construcţii noi,2,320 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,9.0,Construcție nefinisată,,,56 m²,Combinat,100 000€
,Agenție,1,,,,8,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,12.0,Euroreparație,,,74 m²,,179 000€
,Agenție,1,Hruşciovka,,,4,Secundar,1,260 cm,,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,6 m²,30 m²,46 m²,Panou,67 000€
,Agenție,1,,,Exfactor-grup,12,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,12.0,Euroreparație,,,65 m²,Cărămidă,180 000€
,Agenție,1,Individuală,,Basconslux,6,Construcţii noi,1,280 cm,Apartament fără living,Deschis,Apartament cu 1 cameră,11.0,Euroreparație,12 m²,48 m²,48 m²,Bloc,91 000€
,Persoană fizică,1,,,,2,Secundar,2,250 cm,,Deschis,Apartament cu 3 camere,5.0,Reparație cosmetică,10 m²,0 m²,70 m²,Cotileț,55 000€
,Agenție,3,Individuală,,,7,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,11.0,Euroreparație,,,77 m²,,139 000€
,Agenție,1,,,Exfactor-grup,7,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,,84 m²,,150 000€
,Persoană fizică,1,,,Basconslux,1,Construcţii noi,2,,,,Apartament cu 3 camere,10.0,Variantă albă,15 m²,,92 m²,,147 000€
,Agenție,1,Hruşciovka,,,3,Secundar,1,,,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,59 m²,Panou,105 900€
,Agenție,1,,,,4,Secundar,1,,,Deschis,Apartament cu 2 camere,4.0,Reparație cosmetică,,,45 m²,Cotileț,67 900€
,Persoană fizică,1,Individuală,,,7,Construcţii noi,1,290 cm,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Variantă albă,18 m²,68 m²,69 m²,Cărămidă,68 350€
,Persoană fizică,1,Individuală,,Braus Imobiliare,8,Construcţii noi,2,290 cm,Apartament cu living,Subterană,Apartament cu 2 camere,10.0,Variantă albă,12 m²,,69 m²,Combinat,116 990€
,Agenție,1,Brj (Brejnevka),,,5,Secundar,2,,,Deschis,Apartament cu 3 camere,5.0,Reparație cosmetică,7 m²,,71 m²,Cotileț,77 900€
,Persoană fizică,2,,,Ecosem Grup,2,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,12.0,Euroreparație,,,109 m²,Beton celular,220 000€
Cu acordul stăpânului,Agenție,1,Individuală,Cu acordul stăpânului,,8,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,,64 m²,,180 000€
,Agenție,,,,,7,Construcţii noi,,,,,Apartament cu 3 camere,10.0,,,,77 m²,,144 900€
,Agenție,,,,,4,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,15.0,Variantă albă,,,59 m²,,79 550€
,Agenție,1,135,,,3,Secundar,1,,,,Apartament cu 3 camere,9.0,Reparație cosmetică,,,64 m²,,95 000€
,Agenție,,,,Basconslux,2,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,10.0,Euroreparație,,,79 m²,,159 000€
,Persoană fizică,Nu,Individuală,,,2,Construcţii noi,1,265 cm,Apartament cu living,Sub acoperiș,Apartament cu 3 camere,6.0,Euroreparație,10 m²,50 m²,70 m²,Cotileț,124 900€
,Agenție,1,,,Inamstro,12,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,13.0,Euroreparație,,,45 m²,,99 000€
Cu acordul stăpânului,Agenție,,Individuală,Cu acordul stăpânului,,3,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,6.0,Euroreparație,,,60 m²,,109 900€
,Agenție,,,,,5,Construcţii noi,2,,Apartament cu living,,Apartament cu 2 camere,8.0,Euroreparație,,,90 m²,,650 000€
,Dezvoltator imobiliar,,,,,1,Secundar,,,,,O cameră,9.0,,,,24 m²,,26 900€
,Persoană fizică,,,,,1,Secundar,,,Apartament fără living,,Apartament cu 2 camere,5.0,Euroreparație,,,52 m²,,50 500€
,Agenție,1,,,,2,Secundar,1,,,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,43 m²,,79 999€
Fără animale,Agenție,1,Individuală,Se acceptă copii,,12,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,13.0,Variantă albă,,,57 m²,,110 000€
,Agenție,,,,,4,Secundar,,0 cm,,,Apartament cu 1 cameră,9.0,,0 m²,0 m²,35 m²,,37 000€
,Agenție,,Garsonieră,,,5,Secundar,,,,,O cameră,9.0,Euroreparație,,,19 m²,,26 900€
,Agenție,,,,,4,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,10.0,,,,53 m²,,119 900€
,Persoană fizică,1,,,Boiar House,1,Construcţii noi,2,,Apartament fără living,,Apartament cu 4 camere,9.0,Variantă albă,,,100 m²,Combinat,115 000€
Se acceptă animale,Dezvoltator imobiliar,1,143,Se acceptă copii,,8,Secundar,1,270 cm,,Deschis,Apartament cu 1 cameră,9.0,Reparație cosmetică,12 m²,16 m²,45 m²,Panou,87 500€
,Agenție,1,,,Lagmar Impex,8,Construcţii noi,2,,,,Apartament cu 2 camere,11.0,Variantă albă,,,68 m²,,87 800€
,Dezvoltator imobiliar,,,,Lagmar Impex,5,Construcţii noi,,0 cm,,,Apartament cu 3 camere,10.0,Variantă albă,0 m²,0 m²,91 m²,Combinat,98 000€
,Agenție,,,,,1,Secundar,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,10.0,Reparație cosmetică,,37 m²,37 m²,Cotileț,65 500€
,Agenție,,,,,1,Secundar,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,1.0,Euroreparație,,,30 m²,,73 900€
,Agenție,2,,,Pamir Construct,10,Construcţii noi,3,,Apartament cu living,,Apartament cu 3 camere,10.0,Variantă albă,,,178 m²,Beton celular,150 000€
,Agenție,1,,,,7,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 2 camere,9.0,,,,66 m²,,119 000€
,Agenție,1,,,,9,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,,,,77 m²,,160 000€
,Agenție,2,,,,4,Secundar,,,Apartament fără living,,Apartament cu 1 cameră,9.0,Euroreparație,,,42 m²,,45 000€
,Agenție,1,,,,9,Secundar,2,,Apartament fără living,Deschis,Apartament cu 2 camere,10.0,Reparație cosmetică,,,57 m²,,73 500€
,Dezvoltator imobiliar,3,,,,7,Construcţii noi,2,3000 cm,Apartament cu living,,Apartament cu 3 camere,17.0,Euroreparație,30 m²,100 m²,107 m²,,298 000€
Se acceptă animale,Agenție,Nu,,Se acceptă copii,,10,Construcţii noi,2,,Apartament fără living,Deschis,Apartament cu 3 camere,12.0,Euroreparație,,,84 m²,,186 000€
,Agenție,,,,,11,Construcţii noi,,,,,Apartament cu 2 camere,13.0,,,,66 m²,,122 000€
,Agenție,3,,,,2,Construcţii noi,1,,,,Apartament cu 2 camere,15.0,Variantă albă,,,80 m²,,124 000€
Fără animale,Dezvoltator imobiliar,,Individuală,Se acceptă copii,,2,Construcţii noi,1,,,Deschis,O cameră,3.0,Euroreparație,,24 m²,24 m²,Cotileț,450MDL
Se acceptă animale,Agenție,1,,Se acceptă copii,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,14.0,Euroreparație,,,78 m²,,189 900€
,Persoană fizică,1,Varț (Varnițkaia),,,1,Secundar,2,11111 cm,,Deschis,Apartament cu 2 camere,9.0,Fără reparație,,,55 m²,Combinat,74 900€
,Persoană fizică,Nu,Individuală,,,3,Construcţii noi,1,275 cm,Apartament cu living,Subterană,O cameră,4.0,Euroreparație,22 m²,59 m²,59 m²,Cărămidă,129 950€
Se acceptă animale,Agenție,1,,Se acceptă copii,,5,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 2 camere,7.0,Variantă albă,,,64 m²,,107 000€
,Dezvoltator imobiliar,,,,,6,Secundar,,,Apartament cu living,,Apartament cu 2 camere,10.0,,,,69 m²,,165 000€
,Agenție,2,Individuală,,Eldorado Terra,5,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,17.0,Euroreparație,,,122 m²,,295 000€
,Agenție,1,,,,2,Secundar,2,,,Deschis,Apartament cu 3 camere,10.0,,,,79 m²,,87 000€
,Persoană fizică,,Individuală,,Varicom,9,Construcţii noi,1,290 cm,,Deschis,Apartament cu 1 cameră,10.0,Design individual,11 m²,,43 m²,Beton,125 000€
,Persoană fizică,,,,,2,Secundar,1,255 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,5.0,Design individual,,33 m²,33 m²,Cotileț,68 500€
,Persoană fizică,,,,,1,Secundar,,,,Deschis,Apartament cu 3 camere,1.0,,,,89 m²,,120 000€
,Agenție,Nu,Individuală,,AMIC,5,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 2 camere,6.0,Euroreparație,,,52 m²,Combinat,117 000€
,Agenție,1,Individuală,,,6,Secundar,2,,,Sub acoperiș,Apartament cu 2 camere,6.0,Reparație cosmetică,,,75 m²,Cotileț,75 000€
,Agenție,2,,,Dansicons,8,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,9.0,Euroreparație,,,143 m²,,257 000€
,Agenție,1,,,,9,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 5 camere sau mai multe,9.0,Euroreparație,,,154 m²,Cotileț,225 000€
,Agenție,1,Brj (Brejnevka),,,5,Secundar,2,,,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,,46 m²,Cotileț,75 000€
,Persoană fizică,,,,,4,Secundar,,,,,Apartament cu 3 camere,5.0,,,60 m²,60 m²,,98 000€
,Agenție,,Hruşciovka,,,1,Secundar,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,33 m²,,77 000€
Fără animale,Agenție,1,Individuală,Se acceptă copii,,3,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,7.0,Euroreparație,,,63 m²,,159 000€
,Persoană fizică,1,,,,3,Secundar,1,,,Deschis,Apartament cu 2 camere,8.0,Reparație cosmetică,,,48 m²,Cotileț,84 000€
,Dezvoltator imobiliar,,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,8.0,Variantă albă,,,52 m²,,65 000€
,Dezvoltator imobiliar,,,,Solomon Construct Imobil,7,Construcţii noi,,,,,Apartament cu 2 camere,12.0,,,,69 m²,,94 530€
,Persoană fizică,,,,,5,Secundar,,,,,Apartament cu 2 camere,5.0,,,47 m²,47 m²,,29 500€
,Agenție,1,,,,5,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,6.0,Reparație cosmetică,,88 m²,88 m²,Cotileț,120 000€
,Agenție,,,,,9,Construcţii noi,1,,,,Apartament cu 1 cameră,16.0,Variantă albă,,,43 m²,,70 000€
,Persoană fizică,1,Individuală,,Lagmar Impex,7,Construcţii noi,1,2800 cm,,,Apartament cu 2 camere,9.0,Variantă albă,,,57 m²,Combinat,67 600€
,Agenție,1,,,Exfactor-grup,7,Construcţii noi,2,,Apartament cu living,,Apartament cu 4 camere,10.0,Euroreparație,,,80 m²,,174 900€
,Agenție,,,,,7,Construcţii noi,,,,,Apartament cu 3 camere,9.0,,,,81 m²,,168 900€
,Agenție,,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,6.0,,,,48 m²,,97 900€
,Agenție,1,,,Sky House,9,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,,,37 m²,Cărămidă,71 900€
,Dezvoltator imobiliar,3,,,,3,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,,90 m²,,135 900€
,Dezvoltator imobiliar,,,,Inamstro,4,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 2 camere,8.0,Euroreparație,12 m²,,63 m²,,235 000€
,Dezvoltator imobiliar,,,,,5,Construcţii noi,,,,,Apartament cu 1 cameră,7.0,,,,20 m²,,29 500€
,Agenție,2,,,Inamstro,6,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,6.0,Euroreparație,,,150 m²,,650 000€
,Persoană fizică,,,,,9,Secundar,,,,,Apartament cu 4 camere,16.0,Euroreparație,,,102 m²,,160 000€
,Agenție,Nu,Individuală,,Inamstro,2,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,10.0,Construcție nefinisată,,,54 m²,Combinat,94 765€
,Agenție,1,,,,3,Secundar,1,,,Deschis,Apartament cu 3 camere,5.0,Variantă albă,,,48 m²,Panou,72 900€
,Agenție,1,Hruşciovka,,,5,Secundar,1,,,,Apartament cu 2 camere,5.0,,,,45 m²,Cotileț,95 000€
,Agenție,1,Individuală,,Braus Imobiliare,1,Secundar,2,,,Subterană,Apartament cu 3 camere,9.0,Variantă albă,,,97 m²,Panou,135 000€
,Agenție,,143,,,8,Secundar,,,Apartament cu living,,Apartament cu 4 camere,10.0,Euroreparație,,,139 m²,,119 900€
,Dezvoltator imobiliar,,,,,5,Secundar,,0 cm,,,Apartament cu 1 cameră,5.0,,0 m²,0 m²,30 m²,,53 900€
,Agenție,1,,,,6,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,9.0,Variantă albă,,,65 m²,Cărămidă,73 600€
,Persoană fizică,,,,,7,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 1 cameră,11.0,,0 m²,0 m²,47 m²,,115 000€
,Agenție,1,Individuală,,Lagmar Impex,3,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,9.0,Construcție nefinisată,,,57 m²,Beton celular,84 500€
,Agenție,,,,,4,Secundar,,,,,Apartament cu 1 cameră,9.0,,,,35 m²,,37 000€
,Agenție,1,,,,8,Secundar,2,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,60 m²,,127 900€
,Agenție,,Individuală,,,1,Construcţii noi,1,0 cm,,Subterană,Apartament cu 2 camere,4.0,Construcție nefinisată,0 m²,0 m²,62 m²,,114 500€
,Agenție,,,,,8,Secundar,1,,,,Apartament cu 2 camere,9.0,Euroreparație,,,60 m²,,127 900€
Se acceptă animale,Agenție,1,Varț (Varnițkaia),Se acceptă copii,,3,Secundar,2,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,55 m²,Panou,99 499€
,Dezvoltator imobiliar,,,,,7,Construcţii noi,,,,,Apartament cu 1 cameră,9.0,,,,82 m²,,50 000€
,Persoană fizică,1,Brj (Brejnevka),,,3,Secundar,1,,Apartament fără living,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,,45 m²,Cotileț,86 000€
,Dezvoltator imobiliar,,,,,5,Construcţii noi,,,Apartament fără living,,Apartament cu 3 camere,10.0,Reparație cosmetică,,,80 m²,,139 999€
,Dezvoltator imobiliar,,,,,4,Construcţii noi,,,,,Apartament cu 2 camere,10.0,Variantă albă,,,74 m²,,115 900€
,Agenție,,,,,14,Construcţii noi,2,,,,Apartament cu 2 camere,14.0,Euroreparație,,,82 m²,,119 900€
,Agenție,,,,,6,Construcţii noi,,0 cm,,,Apartament cu 4 camere,7.0,,0 m²,0 m²,144 m²,,260 000€
,Persoană fizică,1,,,,5,Construcţii noi,1,277 cm,Apartament cu living,Deschis,Apartament cu 2 camere,6.0,Variantă albă,,57 m²,58 m²,Beton,69 900€
,Agenție,Nu,,,,7,Construcţii noi,2,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,11.0,Euroreparație,0 m²,0 m²,85 m²,Combinat,119 000€
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 1 cameră,9.0,Variantă albă,,,49 m²,Cărămidă,66 000€
,Agenție,,,,,5,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,9.0,Euroreparație,,,48 m²,Cotileț,66 999€
,Agenție,1,,,,8,Construcţii noi,2,,,,Apartament cu 2 camere,10.0,Variantă albă,,,72 m²,,104 399€
,Agenție,1,,,Horus,5,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,16.0,Euroreparație,,,75 m²,,175 900€
,Dezvoltator imobiliar,,,,,8,Construcţii noi,,,,,Apartament cu 1 cameră,9.0,,,,37 m²,,52 900€
,Agenție,1,Individuală,,,4,Secundar,2,,,Deschis,Apartament cu 3 camere,5.0,Reparație cosmetică,,72 m²,72 m²,Cotileț,82 800€
,Agenție,Nu,,,,1,Secundar,1,,,Garaj,Apartament cu 1 cameră,1.0,Reparație cosmetică,,,37 m²,,73 900€
,Agenție,Nu,Individuală,,,3,Construcţii noi,2,,,Garaj,Apartament cu 3 camere,4.0,Variantă albă,,,76 m²,,122 560€
,Agenție,1,Individuală,,Exfactor-grup,3,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,72 m²,Cărămidă,154 900€
,Agenție,,,,,1,Secundar,2,,,,Apartament cu 2 camere,1.0,,,,55 m²,,89 900€
,Agenție,Nu,Individuală,,,6,Construcţii noi,1,,,Subterană,Apartament cu 2 camere,12.0,Euroreparație,,,80 m²,,179 000€
,Persoană fizică,1,,,,1,Secundar,1,,,Deschis,Apartament cu 2 camere,2.0,Reparație cosmetică,,44 m²,44 m²,Beton,28 000€
,Agenție,1,,,,3,Construcţii noi,1,0 cm,,,Apartament cu 2 camere,8.0,Euroreparație,0 m²,51 m²,51 m²,,139 900€
Se acceptă animale,Agenție,1,,Se acceptă copii,,15,Construcţii noi,1,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,16.0,Euroreparație,0 m²,0 m²,80 m²,,165 000€
,Persoană fizică,,,,,6,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,9.0,,,,42 m²,,56 300€
Se acceptă animale,Dezvoltator imobiliar,1,Individuală,Se acceptă copii,,3,Construcţii noi,1,27 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,6.0,Variantă albă,10 m²,38 m²,38 m²,,850€
,Agenție,,,,,10,Construcţii noi,2,0 cm,Apartament cu living,,Apartament cu 3 camere,16.0,,0 m²,0 m²,85 m²,,106 250€
,Dezvoltator imobiliar,,,,,4,Construcţii noi,,0 cm,Apartament fără living,,Apartament cu 3 camere,11.0,Reparație cosmetică,0 m²,80 m²,80 m²,,139 898€
,Agenție,,,,Estate Invest Company,2,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,74 m²,,225 000€
Se acceptă animale,Agenție,1,,Se acceptă copii,Solomon Construct Imobil,8,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 2 camere,9.0,Variantă albă,12 m²,27 m²,57 m²,,76 340€
,Agenție,,,,Inamstro,5,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 3 camere,10.0,Euroreparație,,,90 m²,,225 000€
,Agenție,1,Individuală,,,7,Secundar,2,,Apartament cu living,Deschis,Apartament cu 4 camere,20.0,Are nevoie de reparație,12 m²,52 m²,80 m²,Monolit,105 900€
,Agenție,1,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,7.0,Euroreparație,,,67 m²,,145 000€
,Agenție,1,102,,Reconscivil,5,Secundar,2,,,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,66 m²,Cotileț,145 900€
,Agenție,1,,,,4,Secundar,1,,,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,46 m²,,82 900€
,Persoană fizică,1,,,,3,Secundar,,,,,Apartament cu 2 camere,5.0,,,,45 m²,,86 500€
,Agenție,,,,,3,Secundar,,,Apartament cu living,,Apartament cu 1 cameră,5.0,Euroreparație,,,33 m²,,73 900€
,Agenție,1,,,Lagmar Impex,9,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,11.0,Design individual,,,65 m²,Cărămidă,183 900€
,Agenție,,,,,2,Secundar,1,,Apartament cu living,Deschis,Apartament cu 4 camere,12.0,Euroreparație,,90 m²,104 m²,Combinat,159 900€
,Agenție,1,,,,3,Secundar,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,33 m²,,73 900€
Se acceptă animale,Dezvoltator imobiliar,,,Se acceptă copii,Estate Invest Company,4,Construcţii noi,1,,Apartament fără living,Subterană,Apartament cu 1 cameră,12.0,Variantă albă,,,52 m²,,53 040€
,Agenție,,,,,8,Construcţii noi,,,,,Apartament cu 5 camere sau mai multe,9.0,,,,232 m²,,322 000€
,Agenție,,Individuală,,,7,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,10.0,Variantă albă,,,37 m²,,43 000€
,Agenție,Nu,Individuală,,Inamstro,5,Construcţii noi,1,,Apartament cu living,,Apartament cu 3 camere,10.0,Euroreparație,,,90 m²,Combinat,225 000€
,Dezvoltator imobiliar,,,,Estate Invest Company,6,Construcţii noi,,,,,Apartament cu 2 camere,9.0,Variantă albă,,,68 m²,,93 300€
,Agenție,1,Individuală,,,9,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,15.0,Euroreparație,,,45 m²,Cărămidă,103 900€
,Persoană fizică,1,,,,4,Secundar,1,,,,Apartament cu 2 camere,5.0,Reparație cosmetică,,,48 m²,,15 000€
,Dezvoltator imobiliar,,,,Astercon,10,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 3 camere,10.0,Euroreparație,,,96 m²,,410 000€
,Agenție,,,,,9,Construcţii noi,1,,Apartament cu living,,Apartament cu 3 camere,9.0,Euroreparație,,,100 m²,,275 000€
,Agenție,,,,,2,Construcţii noi,,,,,Apartament cu 1 cameră,6.0,Euroreparație,,,45 m²,Cărămidă,73 900€
,Persoană fizică,,,,,1,Secundar,,,,Deschis,Apartament cu 3 camere,5.0,Euroreparație,,108 m²,108 m²,Cotileț,149 000€
,Agenție,,,,,4,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,9.0,Variantă albă,,,58 m²,,57 000€
,Persoană fizică,1,,,,3,Secundar,1,,,Deschis,Apartament cu 2 camere,4.0,Reparație cosmetică,,,42 m²,Cotileț,37 500€
,Agenție,,,,,6,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,10.0,Euroreparație,,,70 m²,,164 900€
,Agenție,,,,,5,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,7.0,Euroreparație,,,35 m²,,80 000€
Cu acordul stăpânului,Agenție,,Individuală,Cu acordul stăpânului,,5,Secundar,1,,,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,22 m²,,34 900€
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 1 cameră,9.0,Variantă albă,,,49 m²,Cărămidă,69 100€
,Persoană fizică,,,,Dansicons,5,Construcţii noi,,,Apartament fără living,,Apartament cu 2 camere,9.0,Variantă albă,,,65 m²,,118 000€
,Agenție,,,,,7,Construcţii noi,1,,,,Apartament cu 1 cameră,13.0,Euroreparație,,,42 m²,,122 900€
,Agenție,2,,,,5,Secundar,2,,,Deschis,Apartament cu 3 camere,5.0,Euroreparație,,,87 m²,,139 900€
,Agenție,1,,,Estate Invest Company,5,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 3 camere,7.0,Euroreparație,,,74 m²,,310 000€
,Agenție,,,,,2,Secundar,,,Apartament cu living,,Apartament cu 3 camere,5.0,,,74 m²,74 m²,,87 500€
,Persoană fizică,,,,,3,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,5.0,Design individual,,100 m²,100 m²,Cotileț,148 000€
,Agenție,,,,,3,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,11.0,Euroreparație,,,42 m²,,98 000€
,Persoană fizică,1,,,Lagmar Impex,4,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 2 camere,9.0,Euroreparație,0 m²,0 m²,70 m²,,159 900€
,Agenție,,,,,1,Secundar,,,,,Apartament cu 1 cameră,5.0,,,,33 m²,,35 500€
Se acceptă animale,Agenție,1,,Se acceptă copii,,7,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,7.0,Euroreparație,,,41 m²,,77 900€
,Agenție,1,,,,8,Construcţii noi,2,,,,Apartament cu 2 camere,17.0,Euroreparație,,,85 m²,,254 000€
