Autorul anunțului,Număr de camere,Living,Suprafață totală,Fond locativ,Etaj,Număr de etaje,Starea apartamentului,Grup sanitar,Loc de parcare,price,Balcon/ lojie,Compartimentare,Dezvoltator,Tip clădire,Copii,Animale,Suprafață locativă,Suprafață bucătărie,Inălțimea tavanelor
Agenție,Apartament cu 1 cameră,,41 m²,Construcţii noi,4,9,Construcție nefinisată,1,Deschis,38 800€,1,,Nicons,,,,,,
Agenție,Apartament cu 5 camere sau mai multe,,232 m²,Construcţii noi,8,9,,,,322 000€,,,,,,,,,
Persoană fizică,Apartament cu 3 camere,,80 m²,Secundar,3,3,,,,79 000€,,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,63 m²,Construcţii noi,2,16,,,,155 900€,,,Exfactor-grup,,,,,,
Agenție,Apartament cu 4 camere,,230 m²,Construcţii noi,7,10,,,,2 800€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 3 camere,Apartament cu living,175 m²,Construcţii noi,4,6,Euroreparație,2,,350 000€,1,,,,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,,70 m²,Secundar,2,2,,,,78 000€,,,,,,,,,
Persoană fizică,Apartament cu 1 cameră,Apartament cu living,54 m²,Construcţii noi,4,12,Variantă sură,,,73 000€,,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,81 m²,Construcţii noi,2,5,Euroreparație,1,Deschis,850€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,94 m²,Construcţii noi,8,10,Euroreparație,2,Deschis,154 900€,3,Individuală,,Combinat,,,,,
Persoană fizică,Apartament cu 3 camere,,92 m²,Construcţii noi,1,10,Variantă albă,2,,147 000€,1,,Basconslux,,,,,15 m²,
Persoană fizică,Apartament cu 1 cameră,Apartament cu living,46 m²,Construcţii noi,3,9,Euroreparație,1,Deschis,599€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,65 m²,Construcţii noi,10,12,Euroreparație,1,,700€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,52 m²,Construcţii noi,1,4,Euroreparație,1,Deschis,105 900€,,,,,,,,,
Agenție,Apartament cu 1 cameră,,45 m²,Construcţii noi,12,13,Variantă albă,1,,99 000€,,,Inamstro,,,,,,
Agenție,Apartament cu 3 camere,,100 m²,Construcţii noi,9,10,Construcție nefinisată,2,,120 500€,1,Individuală,Lagmar Impex,Combinat,,,,,
Agenție,Apartament cu 1 cameră,,33 m²,Secundar,3,5,Euroreparație,1,Deschis,500MDL,1,,,Cotileț,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament cu living,59 m²,Construcţii noi,1,8,Euroreparație,1,Sub acoperiș,140 000€,1,,,,,,,,
Persoană fizică,Apartament cu 2 camere,,90 m²,Construcţii noi,4,4,Euroreparație,,Deschis,850€,,,,Cotileț,Fără copii,Fără animale,,,
Persoană fizică,Apartament cu 2 camere,,54 m²,Construcţii noi,16,18,,,,54 900€,,,,,,,,,3000 cm
Persoană fizică,Apartament cu 1 cameră,,22 m²,Secundar,2,5,Reparație cosmetică,1,Deschis,34 000€,,Garsonieră,,Cotileț,,,15 m²,3 m²,2500 cm
Agenție,Apartament cu 1 cameră,,34 m²,Secundar,10,10,Fără reparație,1,Deschis,53 000€,1,Ms (serie  moldovenească),,Panou,,,,,
Agenție,Apartament cu 3 camere,,105 m²,Construcţii noi,4,15,Euroreparație,1,,1 500€,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,90 m²,Construcţii noi,7,12,Euroreparație,2,Deschis,229 000€,1,Individuală,Dansicons,Cărămidă,,,,,
Agenție,Apartament cu 2 camere,,75 m²,Construcţii noi,6,12,,1,Deschis,700€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 3 camere,,102 m²,Construcţii noi,9,9,Euroreparație,2,,189 900€,,,,,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,,75 m²,Construcţii noi,4,12,Euroreparație,,,900MDL,2,,,,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,,50 m²,Construcţii noi,5,6,Euroreparație,1,Deschis,600€,1,143,,Cărămidă,Fără copii,Fără animale,36 m²,45 m²,285 cm
Agenție,Apartament cu 3 camere,,117 m²,Construcţii noi,10,10,Design individual,2,Deschis,250 000€,1,Individuală,Basconslux,Cărămidă,,,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,55 m²,Construcţii noi,7,10,Design individual,1,Subterană,800MDL,,,,,Se acceptă copii,Fără animale,,,
Persoană fizică,O cameră,,14 m²,Secundar,4,5,,,,250€,,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 4 camere,,82 m²,Construcţii noi,6,9,,,,86 000€,,,,,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 1 cameră,Apartament fără living,45 m²,Construcţii noi,7,12,Euroreparație,1,Deschis,500€,Nu,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament cu living,88 m²,Construcţii noi,5,7,Euroreparație,1,,285 000€,,,,,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,68 m²,Construcţii noi,8,15,Euroreparație,1,,144 900€,1,,,,,,,,
Agenție,Apartament cu 1 cameră,,50 m²,Construcţii noi,5,5,Euroreparație,2,Sub acoperiș,299MDL,2,102,,Cărămidă,Se acceptă copii,Se acceptă animale,30 m²,20 m²,3 cm
Agenție,Apartament cu 2 camere,Apartament cu living,80 m²,Construcţii noi,12,12,Euroreparație,1,Subterană,250 000€,1,,,,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 3 camere,Apartament cu living,90 m²,Construcţii noi,2,10,Euroreparație,2,Deschis,195 000€,1,,Dansicons,,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 2 camere,,69 m²,Construcţii noi,1,14,Construcție nefinisată,2,Deschis,93 500€,1,Individuală,Lagmar Impex,Cotileț,,,,,
Agenție,Apartament cu 1 cameră,,45 m²,Construcţii noi,2,3,Euroreparație,1,Deschis,85 000€,1,,,,,,,,
Dezvoltator imobiliar,Apartament cu 3 camere,,96 m²,Construcţii noi,3,5,Variantă albă,2,Subterană,106 550€,2,,,Cărămidă,,,,,275 cm
Dezvoltator imobiliar,Apartament cu 1 cameră,,42 m²,Construcţii noi,4,6,Variantă albă,1,,38 110€,,,Dansicons,,,,,,
Agenție,Apartament cu 2 camere,,50 m²,Construcţii noi,5,10,Euroreparație,,,750€,,,,,,,,,
Agenție,Apartament cu 2 camere,,60 m²,Construcţii noi,10,12,,,,1 000€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 2 camere,,77 m²,Construcţii noi,2,13,Variantă albă,2,Deschis,115 500€,1,Individuală,,Cărămidă,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,,68 m²,Construcţii noi,5,12,,,,93 160€,,,Solomon Construct Imobil,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,120 m²,Construcţii noi,6,9,Euroreparație,2,Subterană,1 600€,1,,,,Se acceptă copii,Cu acordul stăpânului,,,
Persoană fizică,Apartament cu 1 cameră,,36 m²,Secundar,3,3,Euroreparație,1,Deschis,25€,1,Cş (Ceşka),,Cărămidă,Fără copii,Fără animale,36 m²,,270 cm
Agenție,Apartament cu 2 camere,,70 m²,Construcţii noi,5,12,Euroreparație,1,Subterană,1 050€,1,,,Cărămidă,Se acceptă copii,Fără animale,70 m²,,
Agenție,Apartament cu 1 cameră,,43 m²,Construcţii noi,6,11,Euroreparație,1,Deschis,92 900€,1,Individuală,,Combinat,,,,,
Agenție,Apartament cu 3 camere,,105 m²,Construcţii noi,5,8,,1,,1 300€,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,70 m²,Construcţii noi,5,9,,,,120 000€,,,,,,,,,
Agenție,Apartament cu 1 cameră,,61 m²,Construcţii noi,13,13,Euroreparație,1,Sub acoperiș,103 500€,1,,,,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,77 m²,Construcţii noi,10,12,,,,133 210€,,,Exfactor-grup,,,,,,
Agenție,Apartament cu 2 camere,,55 m²,Construcţii noi,6,14,Euroreparație,1,,1 800€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 4 camere,,140 m²,Construcţii noi,8,10,Euroreparație,2,,5 000€,,,,,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,60 m²,Secundar,5,9,Reparație cosmetică,1,Deschis,380€,1,,,Beton,Fără copii,Fără animale,,,
Persoană fizică,Apartament cu 3 camere,,71 m²,Secundar,5,5,Reparație cosmetică,,,7€,,,,Cotileț,,,,,
Agenție,Apartament cu 3 camere,,78 m²,Construcţii noi,5,6,Variantă albă,1,Subterană,65 300€,1,,,,,,,,
Persoană fizică,Apartament cu 1 cameră,Apartament fără living,50 m²,Construcţii noi,2,11,Euroreparație,1,Deschis,145 000€,2,,Basconslux,,,,50 m²,,
Agenție,Apartament cu 3 camere,,67 m²,Secundar,3,5,Reparație cosmetică,2,Sub acoperiș,104 000€,1,Ms (serie  moldovenească),,Panou,,,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,Apartament fără living,53 m²,Construcţii noi,14,15,,,,1 800€,,,,,,,,,
Agenție,Apartament cu 2 camere,,40 m²,Secundar,8,9,Euroreparație,1,Deschis,84 900€,1,135,,Panou,,,,,
Agenție,Apartament cu 2 camere,,70 m²,Construcţii noi,12,14,Euroreparație,1,,1 600€,3,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament cu living,74 m²,Construcţii noi,9,9,Euroreparație,1,,194 900€,1,,Exfactor-grup,,,,,,
Persoană fizică,Apartament cu 3 camere,,64 m²,Secundar,5,5,,,,1€,,,,,Se acceptă copii,Se acceptă animale,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,43 m²,Construcţii noi,10,12,Euroreparație,1,Deschis,116 500€,1,,,,,,,,
Agenție,Apartament cu 3 camere,Apartament cu living,85 m²,Construcţii noi,7,9,Euroreparație,2,,179 900€,1,,Exfactor-grup,,,,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,50 m²,Construcţii noi,12,12,Euroreparație,1,Deschis,147 900€,,,Exfactor-grup,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,60 m²,Secundar,11,15,Euroreparație,1,,135 900€,2,,,Monolit,,,,,
Agenție,Apartament cu 1 cameră,,43 m²,Construcţii noi,2,11,,,,900MDL,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,Apartament cu living,74 m²,Construcţii noi,10,11,Euroreparație,1,,700€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,55 m²,Secundar,6,9,Euroreparație,2,,115 900€,1,143,,,,,,,
Agenție,Apartament cu 2 camere,,70 m²,Construcţii noi,8,15,,,,1 000€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 2 camere,,67 m²,Construcţii noi,2,4,Euroreparație,1,Deschis,179 900€,Nu,,,,,,,,
Agenție,Apartament cu 3 camere,Apartament cu living,95 m²,Construcţii noi,9,10,Euroreparație,2,Deschis,219 000€,1,,Dansicons,,,,,,
Persoană fizică,Apartament cu 2 camere,,70 m²,Construcţii noi,11,11,Euroreparație,1,Deschis,550€,1,,,Combinat,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 2 camere,,100 m²,Construcţii noi,5,10,Euroreparație,2,Deschis,40€,,Individuală,,Combinat,Se acceptă copii,Se acceptă animale,50 m²,8 m²,280 cm
Agenție,Apartament cu 1 cameră,,443 m²,Construcţii noi,5,6,,,,168 340€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,Apartament fără living,50 m²,Construcţii noi,3,5,Euroreparație,1,Deschis,350€,1,Individuală,Dansicons,Cotileț,Cu acordul stăpânului,Cu acordul stăpânului,,,250 cm
Agenție,Apartament cu 3 camere,Apartament cu living,65 m²,Construcţii noi,12,12,Euroreparație,2,,179 900€,1,,,,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 3 camere,,82 m²,Secundar,1,9,Euroreparație,2,,159 800€,1,Individuală,,Monolit,,,,,
Persoană fizică,Apartament cu 2 camere,,50 m²,Secundar,3,5,Euroreparație,1,,350€,1,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament cu living,77 m²,Construcţii noi,2,6,,1,Deschis,76 900€,2,,,Cotileț,,,,19 m²,
Agenție,Apartament cu 3 camere,,91 m²,Construcţii noi,6,6,Euroreparație,2,,500€,1,,,,Se acceptă copii,Fără animale,,,
Persoană fizică,Apartament cu 1 cameră,Apartament cu living,48 m²,Construcţii noi,9,15,Euroreparație,,Deschis,800MDL,1,,,,Cu acordul stăpânului,Fără animale,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,43 m²,Construcţii noi,10,12,Euroreparație,1,Deschis,116 500€,1,,,,,,,,
Persoană fizică,Apartament cu 2 camere,Apartament cu living,56 m²,Secundar,2,2,Euroreparație,1,Garaj,300€,,,,Bloc,Se acceptă copii,Fără animale,,,
Persoană fizică,Apartament cu 1 cameră,,50 m²,Construcţii noi,2,5,,,,399MDL,,,,,Se acceptă copii,Se acceptă animale,,,
Agenție,Apartament cu 2 camere,,78 m²,Construcţii noi,3,12,Variantă albă,1,Deschis,125 000€,1,Individuală,,Combinat,,,78 m²,,
Agenție,Apartament cu 3 camere,,70 m²,Construcţii noi,8,12,Euroreparație,2,,850€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,184 m²,Construcţii noi,6,8,Euroreparație,2,Deschis,790 000€,1,,,,,,,,
Persoană fizică,Apartament cu 1 cameră,Apartament cu living,56 m²,Construcţii noi,9,10,,,,105 000€,,,Inamstro,,,,,,280 cm
Agenție,Apartament cu 1 cameră,,45 m²,Construcţii noi,1,10,,,,400€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Dezvoltator imobiliar,Apartament cu 3 camere,Apartament cu living,67 m²,Secundar,4,5,,2,,500€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Persoană fizică,Apartament cu 1 cameră,Apartament cu living,45 m²,Construcţii noi,4,6,Construcție nefinisată,1,,71 000€,2,Individuală,,Combinat,,,17 m²,12 m²,255 cm
Agenție,Apartament cu 1 cameră,Apartament cu living,43 m²,Construcţii noi,10,12,Euroreparație,1,Deschis,116 500€,1,,,,,,,,
Agenție,Apartament cu 2 camere,,40 m²,Secundar,5,9,Euroreparație,2,Deschis,64 900€,Nu,,,Monolit,,,,,
Persoană fizică,O cameră,,400 m²,Secundar,1,2,,3,,190MDL,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 2 camere,Apartament cu living,56 m²,Construcţii noi,2,10,Variantă albă,1,Deschis,78 120€,1,Individuală,,Combinat,,,55 m²,18 m²,300 cm
Agenție,Apartament cu 2 camere,Apartament cu living,50 m²,Construcţii noi,2,12,Euroreparație,1,,800€,1,,,,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 3 camere,Apartament cu living,91 m²,Construcţii noi,7,12,,,,245 000€,,,,,,,,,
Persoană fizică,Apartament cu 2 camere,,53 m²,Secundar,4,5,Euroreparație,2,Sub acoperiș,87 400€,1,Brj (Brejnevka),,Cotileț,,,,6 m²,2700 cm
Persoană fizică,Apartament cu 1 cameră,,60 m²,Construcţii noi,5,13,Euroreparație,,,650MDL,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament cu living,84 m²,Construcţii noi,4,7,Euroreparație,2,Subterană,255 000€,,,,,,,,,
Persoană fizică,Apartament cu 2 camere,Apartament cu living,65 m²,Construcţii noi,9,11,Euroreparație,,,183 900€,1,,,,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,81 m²,Construcţii noi,2,10,Variantă albă,2,Deschis,165 000€,1,Individuală,Savvides Monark,Combinat,,,34 m²,14 m²,
Agenție,Apartament cu 1 cameră,Apartament cu living,52 m²,Construcţii noi,6,7,Euroreparație,1,Subterană,1 200€,1,,,,Fără copii,Cu acordul stăpânului,,,
Persoană fizică,Apartament cu 1 cameră,,40 m²,Construcţii noi,9,9,Euroreparație,1,Deschis,800MDL,1,,,,Cu acordul stăpânului,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 2 camere,,120 m²,Secundar,1,2,,,,1 000€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,Apartament cu living,47 m²,Construcţii noi,2,5,Variantă albă,,Subterană,117 500€,,,Vasigur Grup,,,,0 m²,0 m²,0 cm
Agenție,Apartament cu 2 camere,Apartament cu living,90 m²,Construcţii noi,7,8,,1,,1 500€,1,,,,Se acceptă copii,Se acceptă animale,,,
Agenție,Apartament cu 2 camere,,67 m²,Construcţii noi,6,11,Euroreparație,1,Deschis,123 000€,2,Individuală,Eldorado Terra,Combinat,,,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,,40 m²,Secundar,2,16,,,,500MDL,,,,,Fără copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,Apartament cu living,64 m²,Construcţii noi,3,15,Variantă albă,1,Subterană,103 129€,1,,Horus,Cărămidă,,,,,
Persoană fizică,Apartament cu 2 camere,Apartament cu living,65 m²,Construcţii noi,9,11,Design individual,,,183 900€,1,,Lagmar Impex,,,,,,
Persoană fizică,O cameră,,14 m²,Secundar,4,5,,,,250€,,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament cu living,95 m²,Construcţii noi,12,15,Euroreparație,2,Deschis,2 000€,1,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Persoană fizică,O cameră,,14 m²,Secundar,4,5,,,,250€,,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,52 m²,Secundar,2,5,Are nevoie de reparație,1,,77 800€,1,Brj (Brejnevka),,Cotileț,,,,,
Agenție,Apartament cu 1 cameră,Apartament fără living,41 m²,Secundar,4,5,Euroreparație,1,Deschis,97 000€,1,,,,,,,,
Agenție,Apartament cu 3 camere,Apartament cu living,70 m²,Construcţii noi,5,10,,1,Deschis,600€,Nu,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Persoană fizică,Apartament cu 2 camere,,77 m²,Construcţii noi,7,12,Euroreparație,2,,139 900€,3,,,,,,,,
Persoană fizică,Apartament cu 2 camere,Apartament cu living,57 m²,Construcţii noi,7,11,Euroreparație,2,Deschis,600€,1,Individuală,Basconslux,Cărămidă,Se acceptă copii,Fără animale,57 m²,17 m²,277 cm
Agenție,Apartament cu 1 cameră,,39 m²,Secundar,2,5,Reparație cosmetică,1,Deschis,49 900€,1,102,,Cotileț,,,,,
Persoană fizică,Apartament cu 2 camere,Apartament cu living,79 m²,Construcţii noi,11,11,Euroreparație,1,Subterană,173 800€,1,,Exfactor-grup,,,,,,2800 cm
Agenție,Apartament cu 2 camere,,74 m²,Construcţii noi,15,17,Design individual,1,Subterană,220 000€,2,Individuală,Eldorado Terra,Combinat,,,,,
Agenție,Apartament cu 2 camere,,55 m²,Construcţii noi,7,12,Euroreparație,1,,700€,1,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 2 camere,Apartament fără living,42 m²,Secundar,3,5,Design individual,1,Deschis,350€,1,,,Cotileț,Se acceptă copii,Cu acordul stăpânului,42 m²,,
Dezvoltator imobiliar,Apartament cu 3 camere,Apartament cu living,83 m²,Construcţii noi,1,10,Variantă albă,2,,91 675€,,,Lagmar Impex,,,,,,
Agenție,Apartament cu 1 cameră,,19 m²,Secundar,2,5,,,,39 500€,,,,,,,,,
Persoană fizică,Apartament cu 2 camere,Apartament cu living,89 m²,Secundar,8,9,Euroreparație,1,Subterană,185 000€,1,Individuală,,Cărămidă,,,,12 m²,
Agenție,Apartament cu 3 camere,Apartament cu living,75 m²,Secundar,2,5,Reparație cosmetică,2,Deschis,105 000€,1,,,Cotileț,Se acceptă copii,Se acceptă animale,,,
Agenție,Apartament cu 1 cameră,,46 m²,Construcţii noi,10,10,,,,111 200€,,,,,,,,,
Agenție,Apartament cu 3 camere,Apartament cu living,74 m²,Secundar,9,10,Reparație cosmetică,1,Deschis,104 900€,3,143,,,,,,,
Agenție,Apartament cu 2 camere,,55 m²,Secundar,8,9,Euroreparație,2,,90 000€,1,135,,,,,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,60 m²,Construcţii noi,2,9,Euroreparație,1,,500€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Persoană fizică,Apartament cu 1 cameră,,50 m²,Construcţii noi,5,13,Euroreparație,,,650MDL,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,77 m²,Construcţii noi,9,14,Euroreparație,1,Deschis,1 300€,Nu,,Estate Invest Company,,Fără copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,98 m²,Construcţii noi,2,8,Euroreparație,2,Deschis,182 000€,Nu,Individuală,,Combinat,,,,,
Agenție,Apartament cu 2 camere,,48 m²,Construcţii noi,2,6,,,,650€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 3 camere,,78 m²,Construcţii noi,5,9,Euroreparație,2,Deschis,136 900€,,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament fără living,70 m²,Construcţii noi,8,8,Euroreparație,2,Deschis,139 900€,1,,,,,,,,
Persoană fizică,Apartament cu 2 camere,,54 m²,Construcţii noi,16,18,,,,54 900€,,,,,,,,,3000 cm
Dezvoltator imobiliar,O cameră,,63 m²,Construcţii noi,3,6,,,,4 300MDL,,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 1 cameră,Apartament fără living,45 m²,Construcţii noi,15,17,Variantă albă,1,Deschis,67 875€,1,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,120 m²,Construcţii noi,6,9,Euroreparație,2,,1 600€,1,,,,Se acceptă copii,Se acceptă animale,,,
Persoană fizică,Apartament cu 1 cameră,,50 m²,Construcţii noi,3,9,Euroreparație,1,Deschis,400€,1,Individuală,,Monolit,Se acceptă copii,Fără animale,,,280 cm
Dezvoltator imobiliar,Apartament cu 3 camere,,116 m²,Construcţii noi,8,10,,,,284 000€,,,,,,,,,
Persoană fizică,Apartament cu 2 camere,,67 m²,Construcţii noi,2,11,Euroreparație,,Deschis,700€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 2 camere,,53 m²,Secundar,1,5,Euroreparație,1,,470€,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,60 m²,Construcţii noi,2,10,Euroreparație,1,Deschis,750€,Nu,,,,Cu acordul stăpânului,Fără animale,,,
Agenție,Apartament cu 2 camere,Apartament cu living,65 m²,Construcţii noi,10,12,Euroreparație,1,,148 900€,1,,,,,,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,,35 m²,Secundar,5,5,Design individual,,Deschis,350MDL,1,Individuală,AMIC,,Cu acordul stăpânului,Cu acordul stăpânului,35 m²,8 m²,250 cm
Agenție,Apartament cu 3 camere,,94 m²,Construcţii noi,8,9,Construcție nefinisată,2,Deschis,118 200€,2,Individuală,Estate Invest Company,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,60 m²,Secundar,1,2,,2,,2 000€,1,,,,Se acceptă copii,Se acceptă animale,,,
Agenție,Apartament cu 3 camere,,67 m²,Construcţii noi,4,6,Euroreparație,1,,450€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Persoană fizică,Apartament cu 2 camere,Apartament cu living,70 m²,Construcţii noi,7,10,Variantă albă,,,209 900€,,Individuală,Inamstro,Cărămidă,,,70 m²,,300 cm
Agenție,Apartament cu 2 camere,,41 m²,Secundar,1,5,Euroreparație,1,,72 900€,,Individuală,,,,,,,
Dezvoltator imobiliar,O cameră,,20 m²,Construcţii noi,9,9,,,,200€,,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,85 m²,Construcţii noi,1,9,,,,179 000€,,,,,,,,,
Agenție,Apartament cu 3 camere,,75 m²,Construcţii noi,8,10,Euroreparație,1,,1 200€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,53 m²,Construcţii noi,8,10,,,,599€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,0 m²,0 m²,0 cm
Agenție,Apartament cu 1 cameră,,45 m²,Construcţii noi,7,9,Variantă albă,1,,49 500€,,,,,,,,,
Persoană fizică,Apartament cu 2 camere,Apartament fără living,36 m²,Secundar,3,3,Reparație cosmetică,1,Deschis,18 000€,,Cămin familial,,Cotileț,,,25 m²,9 m²,
Agenție,Apartament cu 2 camere,,49 m²,Secundar,4,5,Euroreparație,1,Deschis,62 000€,1,,,,,,,,
Agenție,Apartament cu 2 camere,,65 m²,Construcţii noi,8,10,Euroreparație,2,Deschis,570€,,,,,Fără copii,Fără animale,65 m²,,
Agenție,Apartament cu 1 cameră,Apartament fără living,45 m²,Construcţii noi,6,8,,2,Deschis,900MDL,1,,,,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,60 m²,Construcţii noi,8,12,Design individual,1,Deschis,173 500€,1,Individuală,Inamstro,Cărămidă,,,40 m²,20 m²,280 cm
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,100 m²,Construcţii noi,10,11,,,,173 000€,,,,,,,,,
Dezvoltator imobiliar,Apartament cu 2 camere,,54 m²,Secundar,8,10,Reparație cosmetică,1,Deschis,85 000€,1,Ms (serie  moldovenească),,,,,,,
Agenție,Apartament cu 1 cameră,,47 m²,Construcţii noi,6,16,Construcție nefinisată,1,,83 200€,1,Individuală,,Cărămidă,,,,,
Agenție,Apartament cu 3 camere,,133 m²,Construcţii noi,12,12,Construcție nefinisată,2,Subterană,212 800€,1,,Solomon Construct Imobil,Cărămidă,,,,,3 cm
Persoană fizică,Apartament cu 1 cameră,Apartament fără living,50 m²,Construcţii noi,2,11,Euroreparație,1,Deschis,145 000€,2,,Basconslux,,,,50 m²,,
Agenție,Apartament cu 1 cameră,,44 m²,Construcţii noi,10,11,,1,,120 000€,,,,,,,,,
Dezvoltator imobiliar,Apartament cu 4 camere,Apartament cu living,134 m²,Construcţii noi,8,9,Variantă albă,2,Deschis,134 000€,2,,,Combinat,,,,,290 cm
Agenție,Apartament cu 2 camere,,79 m²,Construcţii noi,12,16,Euroreparație,2,Deschis,141 500€,2,Individuală,,Combinat,,,,,
Agenție,Apartament cu 3 camere,Apartament cu living,113 m²,Construcţii noi,6,7,Euroreparație,3,Deschis,340 000€,1,,NG Invest,,,,113 m²,0 m²,0 cm
Persoană fizică,Apartament cu 1 cameră,,40 m²,Construcţii noi,5,12,,1,,123 000€,,Individuală,Lagmar Impex,Cărămidă,,,40 m²,13 m²,270 cm
Agenție,O cameră,,25 m²,Secundar,4,6,Reparație cosmetică,1,Deschis,33 990€,Nu,,,Cotileț,,,15 m²,,260 cm
Dezvoltator imobiliar,Apartament cu 1 cameră,Apartament cu living,55 m²,Construcţii noi,5,12,,,,550€,,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,73 m²,Secundar,1,5,Reparație cosmetică,1,,70 000€,Nu,Individuală,,,,,,,
