Autorul anunțului,Număr de camere,Living,Suprafață totală,Fond locativ,Etaj,Număr de etaje,Starea apartamentului,Grup sanitar,Loc de parcare,price,Balcon/ lojie,Compartimentare,Dezvoltator,Tip clădire,Copii,Animale,Suprafață locativă,Suprafață bucătărie,Inălțimea tavanelor
Agenție,Apartament cu 2 camere,,65 m²,Construcţii noi,9,12,Variantă albă,1,,128 900€,1,,,,,,,,
Agenție,Apartament cu 4 camere,,145 m²,Construcţii noi,3,12,Euroreparație,1,,4 000€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,83 m²,Construcţii noi,15,16,Euroreparație,1,Deschis,119 000€,3,Individuală,,Cotileț,,,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,45 m²,Construcţii noi,4,9,Euroreparație,1,Deschis,97 500€,1,,,,,,,,
Agenție,Apartament cu 3 camere,,78 m²,Construcţii noi,2,10,Euroreparație,1,,550€,,,,,Se acceptă copii,Fără animale,,,
Persoană fizică,Apartament cu 1 cameră,,35 m²,Secundar,5,6,Reparație cosmetică,1,,63 900€,1,Cş (Ceşka),,,,,,,
Agenție,Apartament cu 5 camere sau mai multe,,232 m²,Construcţii noi,8,9,,,,322 000€,,,,,,,,,
Agenție,Apartament cu 1 cameră,,58 m²,Construcţii noi,9,12,Construcție nefinisată,1,Deschis,82 300€,1,Individuală,Solomon Construct Imobil,Cărămidă,,,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,55 m²,Construcţii noi,6,7,Euroreparație,1,Deschis,850€,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,54 m²,Secundar,3,16,Euroreparație,2,,650€,1,,,,Se acceptă copii,Fără animale,,,
Persoană fizică,Apartament cu 1 cameră,Apartament cu living,53 m²,Construcţii noi,13,16,Design individual,1,Deschis,120 000€,,,Basconslux,,,,,,285 cm
Agenție,Apartament cu 2 camere,,60 m²,Secundar,3,9,,2,,120 900€,1,143,,Monolit,,,,,
