animals,author_of_the_announcement,balcony_loggia,compartmentalization,children,developer,floor,housing_fund,bathroom,ceiling_height,living_room,parking_spot,number_of_rooms,number_of_floors,apartment_condition,kitchen_area,living_area,total_area,building_type,price
,Agenție,,,,,8,Secundar,1,,,,Apartament cu 2 camere,9.0,Euroreparație,,,60 m²,,127900
Se acceptă animale,Agenție,1,Varț (Varnițkaia),Se acceptă copii,,3,Secundar,2,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,55 m²,Panou,99499
,Dezvoltator imobiliar,,,,,7,Construcţii noi,,,,,Apartament cu 1 cameră,9.0,,,,82 m²,,50000
,Persoană fizică,1,Brj (Brejnevka),,,3,Secundar,1,,Apartament fără living,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,,45 m²,Cotileț,86000
,Dezvoltator imobiliar,,,,,5,Construcţii noi,,,Apartament fără living,,Apartament cu 3 camere,10.0,Reparație cosmetică,,,80 m²,,139999
,Dezvoltator imobiliar,,,,,4,Construcţii noi,,,,,Apartament cu 2 camere,10.0,Variantă albă,,,74 m²,,115900
,Agenție,,,,,14,Construcţii noi,2,,,,Apartament cu 2 camere,14.0,Euroreparație,,,82 m²,,119900
,Agenție,,,,,6,Construcţii noi,,0 cm,,,Apartament cu 4 camere,7.0,,0 m²,0 m²,144 m²,,260000
,Persoană fizică,1,,,,5,Construcţii noi,1,277 cm,Apartament cu living,Deschis,Apartament cu 2 camere,6.0,Variantă albă,,57 m²,58 m²,Beton,69900
,Agenție,Nu,,,,7,Construcţii noi,2,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,11.0,Euroreparație,0 m²,0 m²,85 m²,Combinat,119000
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 1 cameră,9.0,Variantă albă,,,49 m²,Cărămidă,66000
,Agenție,,,,,5,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,9.0,Euroreparație,,,48 m²,Cotileț,66999
,Agenție,1,,,,8,Construcţii noi,2,,,,Apartament cu 2 camere,10.0,Variantă albă,,,72 m²,,104399
,Agenție,1,,,Horus,5,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,16.0,Euroreparație,,,75 m²,,175900
,Dezvoltator imobiliar,,,,,8,Construcţii noi,,,,,Apartament cu 1 cameră,9.0,,,,37 m²,,52900
,Agenție,1,Individuală,,,4,Secundar,2,,,Deschis,Apartament cu 3 camere,5.0,Reparație cosmetică,,72 m²,72 m²,Cotileț,82800
,Agenție,Nu,,,,1,Secundar,1,,,Garaj,Apartament cu 1 cameră,1.0,Reparație cosmetică,,,37 m²,,73900
,Agenție,Nu,Individuală,,,3,Construcţii noi,2,,,Garaj,Apartament cu 3 camere,4.0,Variantă albă,,,76 m²,,122560
,Agenție,1,Individuală,,Exfactor-grup,3,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,72 m²,Cărămidă,154900
