animals,author_of_the_announcement,balcony_loggia,compartmentalization,children,developer,floor,housing_fund,bathroom,ceiling_height,living_room,parking_spot,number_of_rooms,number_of_floors,apartment_condition,kitchen_area,living_area,total_area,building_type,price
,Agenție,,,,,1,Secundar,,,,,O cameră,5.0,Reparație cosmetică,,,23 m²,,33900
,Agenție,,,,Lagmar Impex,8,Construcţii noi,1,0 cm,,,Apartament cu 2 camere,16.0,,0 m²,0 m²,67 m²,,83750
,Persoană fizică,,,,,3,Secundar,,,,,Apartament cu 3 camere,5.0,,,,63 m²,,70000
,Dezvoltator imobiliar,,,,,3,Construcţii noi,1,,,,Apartament cu 3 camere,11.0,,,,93 m²,,232500
,Agenție,1,Individuală,,Kirsan,6,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,,,43 m²,Beton celular,74900
,Dezvoltator imobiliar,,,,,11,Construcţii noi,,,Apartament cu living,Subterană,Apartament cu 1 cameră,12.0,Euroreparație,,,57 m²,,137700
,Agenție,1,143,,,5,Secundar,2,,,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,57 m²,Panou,124900
,Agenție,,,,,5,Construcţii noi,,,,,Apartament cu 2 camere,7.0,,,,36 m²,,44640
,Agenție,1,102,,,2,Secundar,1,,,Deschis,Apartament cu 1 cameră,5.0,Reparație cosmetică,,,39 m²,Cotileț,49900
,Dezvoltator imobiliar,,,,,5,Secundar,,,,,Apartament cu 1 cameră,16.0,,,,37 m²,,51000
,Agenție,,,,,2,Construcţii noi,1,0 cm,,,Apartament cu 2 camere,3.0,Euroreparație,0 m²,0 m²,80 m²,,250000
,Agenție,,Individuală,,,4,Secundar,1,0 cm,,Deschis,Apartament cu 1 cameră,9.0,Reparație cosmetică,0 m²,0 m²,25 m²,,37900
Fără animale,Agenție,1,Individuală,Se acceptă copii,,5,Construcţii noi,2,,,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,,,51 m²,,116500
,Agenție,Nu,,,Cubaj Prim,5,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,,,40 m²,,85500
,Agenție,,,,,5,Secundar,,,,,Apartament cu 2 camere,5.0,,,,45 m²,,49500
,Agenție,,,,,2,Secundar,,,,,Apartament cu 1 cameră,5.0,Euroreparație,,,30 m²,Cotileț,69900
,Persoană fizică,,,,Erinvest,8,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,8.0,Euroreparație,,,111 m²,,169999
,Persoană fizică,2,Individuală,,,9,Construcţii noi,,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,57 m²,,70000
,Dezvoltator imobiliar,,,,,5,Secundar,1,,Apartament cu living,,Apartament cu 1 cameră,5.0,Euroreparație,,,50 m²,,92900
,Agenție,2,Ms (serie  moldovenească),,,2,Secundar,2,,,Deschis,Apartament cu 4 camere,10.0,Reparație cosmetică,,,93 m²,Beton celular,103900
,Dezvoltator imobiliar,,,,,6,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,9.0,,,56 m²,56 m²,,65000
,Dezvoltator imobiliar,Nu,Individuală,,,2,Construcţii noi,2,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,8.0,Euroreparație,0 m²,149 m²,149 m²,Combinat,490000
,Agenție,2,Individuală,,,5,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,59 m²,Cotileț,95000
,Agenție,Nu,Individuală,,,2,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,15.0,Euroreparație,,,80 m²,Beton celular,125000
,Agenție,1,,,,13,Construcţii noi,1,,,,Apartament cu 3 camere,15.0,Euroreparație,,,95 m²,,255000
,Persoană fizică,,,,,4,Secundar,,,,,Apartament cu 2 camere,5.0,,,,46 m²,,82900
,Agenție,,,,,5,Secundar,,,,,Apartament cu 2 camere,5.0,,,,50 m²,,82950
,Agenție,1,,,,5,Secundar,1,,,,Apartament cu 1 cameră,5.0,Euroreparație,,,22 m²,,33900
,Persoană fizică,,,,,2,Construcţii noi,2,,,,Apartament cu 2 camere,3.0,Euroreparație,,,127 m²,Cotileț,381000
,Agenție,1,,,Exfactor-grup,5,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,49 m²,,134900
,Dezvoltator imobiliar,2,,,Exfactor-grup,3,Construcţii noi,2,275 cm,Apartament cu living,Subterană,Apartament cu 3 camere,9.0,Variantă albă,0 m²,0 m²,84 m²,Cărămidă,104000
,Agenție,2,,,,12,Construcţii noi,2,3000 cm,Apartament cu living,Subterană,Apartament cu 2 camere,12.0,Variantă albă,0 m²,0 m²,163 m²,Combinat,230000
Fără animale,Agenție,1,Individuală,Se acceptă copii,,5,Secundar,1,,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,41 m²,,57000
,Agenție,2,143,,,5,Secundar,,,,,Apartament cu 2 camere,9.0,Design individual,,,52 m²,Panou,80000
,Agenție,1,,,,11,Construcţii noi,2,,,,Apartament cu 2 camere,12.0,Variantă albă,,,75 m²,,138900
,Agenție,,,,Basconslux,3,Construcţii noi,,,,,Apartament cu 3 camere,9.0,Variantă albă,,,86 m²,,86400
,Dezvoltator imobiliar,,Individuală,,Dansicons,1,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,9.0,Euroreparație,,,102 m²,Combinat,179000
,Agenție,1,,,,4,Construcţii noi,2,,,,Apartament cu 2 camere,9.0,Variantă albă,,,56 m²,,81700
,Agenție,1,Hruşciovka,,,4,Secundar,1,,,Deschis,Apartament cu 3 camere,5.0,Reparație cosmetică,8 m²,60 m²,60 m²,Panou,84500
,Agenție,1,Individuală,,Exfactor-grup,7,Construcţii noi,2,,,Subterană,Apartament cu 2 camere,13.0,Construcție nefinisată,,,71 m²,Cărămidă,131400
,Agenție,1,,,,5,Secundar,2,,,,Apartament cu 2 camere,5.0,Euroreparație,,,54 m²,,35700
,Persoană fizică,2,Individuală,,,1,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,65 m²,68 m²,Cărămidă,108000
,Agenție,1,,,Lagmar Impex,6,Construcţii noi,2,,,,Apartament cu 3 camere,10.0,Variantă albă,,,82 m²,,94300
,Persoană fizică,,,,Inamstro,10,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,13.0,,,,65 m²,Cărămidă,140500
Fără animale,Agenție,Nu,Individuală,Se acceptă copii,,1,Secundar,1,,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,67 m²,,79900
,Persoană fizică,,,,Ecosem Grup,9,Construcţii noi,1,270 cm,,,Apartament cu 1 cameră,13.0,Variantă albă,,,18 m²,Monolit,27000
,Agenție,Nu,Individuală,,,3,Construcţii noi,2,,,Garaj,Apartament cu 3 camere,4.0,Variantă albă,,,83 m²,,133600
,Persoană fizică,,Ms (serie  moldovenească),,,7,Secundar,,,,Deschis,Apartament cu 3 camere,9.0,Reparație cosmetică,,,72 m²,Combinat,92500
,Dezvoltator imobiliar,,,,,7,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,12.0,,,,91 m²,,245000
,Agenție,,,,,3,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,16.0,Variantă albă,,,50 m²,,70000
,Agenție,,,,,2,Secundar,,,,,Apartament cu 3 camere,5.0,,,,51 m²,,77500
,Dezvoltator imobiliar,,,,,3,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,7.0,,,,57 m²,,77597
,Persoană fizică,1,Individuală,,,1,Secundar,2,,Apartament cu living,Deschis,Apartament cu 3 camere,9.0,Design individual,,82 m²,82 m²,Monolit,159800
,Dezvoltator imobiliar,,,,Basconslux,6,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 2 camere,11.0,Euroreparație,0 m²,0 m²,68 m²,,155000
,Agenție,,,,,4,Construcţii noi,,,,,Apartament cu 3 camere,17.0,,,,122 m²,,280000
,Agenție,,,,,2,Construcţii noi,2,,,,Apartament cu 3 camere,10.0,Euroreparație,,,90 m²,,248000
,Agenție,Nu,Individuală,,,1,Secundar,1,,,Deschis,Apartament cu 2 camere,3.0,Fără reparație,5 m²,30 m²,30 m²,Cotileț,54000
,Agenție,2,,,,5,Construcţii noi,2,,,,Apartament cu 3 camere,6.0,Variantă albă,,,115 m²,,172500
,Persoană fizică,,,,Eurocons,1,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,5.0,Variantă albă,,,45 m²,Cotileț,80000
,Agenție,2,,,,3,Construcţii noi,1,,,,Apartament cu 1 cameră,5.0,Variantă sură,,,55 m²,Cărămidă,80900
,Persoană fizică,,,,,1,Secundar,,,,,Apartament cu 1 cameră,2.0,,,,31 m²,,38000
,Agenție,2,Individuală,,,6,Secundar,1,,Apartament cu living,Deschis,Apartament cu 2 camere,6.0,Euroreparație,,,84 m²,,115542
,Agenție,2,,,,11,Construcţii noi,2,,Apartament cu living,,Apartament cu 3 camere,14.0,Euroreparație,,,162 m²,,990000
,Dezvoltator imobiliar,2,,,,2,Secundar,,,Apartament cu living,Deschis,Apartament cu 2 camere,2.0,Euroreparație,,60 m²,60 m²,Cotileț,67000
,Agenție,1,Individuală,,,2,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,8.0,Variantă albă,,,69 m²,,78000
,Agenție,1,,,,6,Construcţii noi,1,,,Deschis,Apartament cu 3 camere,9.0,Variantă albă,,,93 m²,,149900
,Agenție,Nu,Individuală,,,7,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,,,40 m²,,89000
,Agenție,,,,,13,Construcţii noi,,,,,Apartament cu 1 cameră,13.0,Euroreparație,,,58 m²,Cărămidă,102500
,Agenție,,,,,4,Secundar,1,,Apartament fără living,,O cameră,5.0,,,,18 m²,,29900
,Dezvoltator imobiliar,1,Individuală,,Sky House,1,Construcţii noi,2,300 cm,Apartament fără living,Subterană,Apartament cu 3 camere,10.0,Variantă albă,15 m²,50 m²,75 m²,Cărămidă,125000
,Agenție,1,,,Sky House,9,Secundar,1,,,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,57 m²,,108000
,Agenție,1,,,,6,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,12.0,Euroreparație,,,66 m²,,125000
,Agenție,,Cămin familial,,,3,Secundar,2,,,Deschis,O cameră,9.0,Reparație cosmetică,,15 m²,18 m²,,26000
,Agenție,2,,,,4,Secundar,2,,,,Apartament cu 3 camere,5.0,Reparație cosmetică,,,86 m²,,79900
,Agenție,,,,,2,Secundar,,,,,Apartament cu 3 camere,5.0,Euroreparație,,,63 m²,Cotileț,65799
,Agenție,,,,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,4.0,Variantă albă,,21 m²,21 m²,Cărămidă,30670
,Agenție,1,,,,2,Construcţii noi,2,0 cm,Apartament cu living,Deschis,Apartament cu 3 camere,9.0,Euroreparație,0 m²,0 m²,90 m²,,195000
,Dezvoltator imobiliar,,,,,1,Secundar,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,,,34 m²,,69900
,Agenție,,143,,,4,Secundar,,,,,Apartament cu 3 camere,9.0,,,,74 m²,,117000
,Agenție,1,,,,8,Construcţii noi,2,,,,Apartament cu 2 camere,9.0,Variantă albă,,,57 m²,,53500
,Agenție,1,,,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,12.0,Euroreparație,,,62 m²,,85900
,Agenție,1,Individuală,,,3,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,6.0,Construcție nefinisată,,,51 m²,Cărămidă,68952
,Agenție,,,,,3,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,9.0,Variantă albă,,,67 m²,,80240
,Persoană fizică,1,Rubaşka,,,4,Secundar,1,,,Deschis,Apartament cu 3 camere,5.0,Reparație cosmetică,,,61 m²,Bloc,48000
,Agenție,1,,,,3,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,70 m²,,159900
,Agenție,1,,,,5,Secundar,1,,,Deschis,O cameră,5.0,Euroreparație,,,18 m²,Cotileț,29900
,Agenție,,,,,2,Construcţii noi,,0 cm,,,Apartament cu 1 cameră,4.0,,0 m²,0 m²,50 m²,,82500
,Agenție,1,,,,5,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,80 m²,,175000
,Agenție,,,,,1,Secundar,,,,,Apartament cu 1 cameră,7.0,Euroreparație,,,17 m²,Cotileț,34900
,Agenție,,,,,2,Secundar,,0 cm,,,Apartament cu 3 camere,2.0,,0 m²,0 m²,72 m²,,38000
,Agenție,,,,,1,Secundar,,,,,Apartament cu 3 camere,5.0,,,,70 m²,,54500
,Agenție,1,,,,6,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,84 m²,,250000
,Dezvoltator imobiliar,3,143,,,8,Secundar,1,,,,Apartament cu 2 camere,9.0,,,,60 m²,,95000
,Persoană fizică,,Individuală,,,1,Secundar,1,,,Deschis,Apartament cu 2 camere,1.0,Are nevoie de reparație,,,45 m²,Cotileț,39000
,Persoană fizică,1,Hruşciovka,,,1,Secundar,1,,,Deschis,Apartament cu 1 cameră,4.0,Reparație cosmetică,,19 m²,23 m²,Cotileț,26000
,Agenție,1,,,,9,Secundar,1,0 cm,,,Apartament cu 1 cameră,9.0,Reparație cosmetică,0 m²,0 m²,23 m²,,31900
Cu acordul stăpânului,Agenție,1,Individuală,Cu acordul stăpânului,,3,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,16.0,Euroreparație,,,55 m²,,149900
Se acceptă animale,Agenție,Nu,,,,3,Construcţii noi,2,,Apartament fără living,Deschis,Apartament cu 2 camere,6.0,Euroreparație,,,50 m²,,120000
,Agenție,1,,,,2,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,3.0,Euroreparație,,,60 m²,,142900
,Agenție,1,Individuală,,,3,Construcţii noi,1,,,Garaj,Apartament cu 1 cameră,8.0,Variantă albă,,,41 m²,Cotileț,69000
Se acceptă animale,Dezvoltator imobiliar,,,Se acceptă copii,,4,Secundar,1,250 cm,Apartament cu living,Deschis,O cameră,5.0,Euroreparație,,,17 m²,Cotileț,31900
,Dezvoltator imobiliar,,,,,3,Secundar,,,,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,,50 m²,,58000
,Agenție,,Individuală,,,1,Secundar,1,,,Deschis,Apartament cu 1 cameră,4.0,Euroreparație,,,25 m²,,40300
,Agenție,1,135,,,1,Secundar,1,,,Deschis,Apartament cu 1 cameră,9.0,Reparație cosmetică,,,37 m²,Combinat,61500
,Persoană fizică,Nu,Cămin familial,,,3,Secundar,1,2500 cm,Apartament fără living,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,9 m²,20 m²,23 m²,Cotileț,31500
,Agenție,1,Individuală,,,3,Secundar,1,,,Deschis,Apartament cu 1 cameră,5.0,Fără reparație,,,23 m²,,39500
,Dezvoltator imobiliar,,,,,6,Construcţii noi,,,,,Apartament cu 1 cameră,7.0,,,,41 m²,,71999
,Agenție,,,,,4,Secundar,,0 cm,,,Apartament cu 1 cameră,5.0,,0 m²,0 m²,18 m²,,29900
,Agenție,1,Individuală,,,4,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,9.0,Variantă albă,,,48 m²,,84000
,Agenție,1,Individuală,,Estate Invest Company,9,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,12.0,Variantă albă,,,71 m²,Combinat,92300
,Agenție,1,Individuală,,,3,Secundar,1,,,Deschis,Apartament cu 1 cameră,16.0,Reparație cosmetică,,38 m²,43 m²,Panou,62000
,Agenție,1,,,,6,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,,,40 m²,,79900
,Agenție,1,Individuală,,Lagmar Impex,3,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,9.0,Variantă albă,,,47 m²,Combinat,65200
,Agenție,1,,,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 3 camere,5.0,Variantă albă,,,75 m²,,93600
,Agenție,1,,,Inamstro,9,Construcţii noi,1,280 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,11.0,Dat în exploatare,,,41 m²,Combinat,120500
,Agenție,1,Individuală,,,5,Secundar,1,,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,,47 m²,Cotileț,67000
,Agenție,,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,16.0,Euroreparație,,,63 m²,,155900
,Agenție,,,,,1,Secundar,,,,,O cameră,5.0,,,,17 m²,,38900
,Agenție,2,,,,10,Construcţii noi,2,,Apartament cu living,,Apartament cu 2 camere,11.0,Variantă albă,,,78 m²,,125000
,Agenție,1,,,,6,Construcţii noi,2,,,,Apartament cu 3 camere,15.0,Variantă albă,,,89 m²,,320000
,Agenție,2,Individuală,,AMIC,3,Construcţii noi,1,,,Deschis,Apartament cu 3 camere,6.0,Euroreparație,,,82 m²,Cotileț,137900
,Agenție,1,Individuală,,,1,Construcţii noi,2,,,,Apartament cu 3 camere,9.0,Euroreparație,,,96 m²,,235000
,Agenție,2,,,,6,Construcţii noi,2,,,,Apartament cu 2 camere,9.0,Variantă albă,,,63 m²,,82530
Fără animale,Agenție,1,Individuală,Se acceptă copii,,9,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,12.0,Variantă albă,,,71 m²,,88875
,Agenție,1,Individuală,,,8,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,10.0,Reparație cosmetică,10 m²,,75 m²,,175000
,Agenție,1,,,,14,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,14.0,Euroreparație,,,85 m²,Combinat,278000
,Agenție,1,Individuală,,,5,Construcţii noi,2,,Apartament cu living,,Apartament cu 2 camere,10.0,Euroreparație,,,94 m²,Combinat,159800
,Agenție,2,Individuală,,,4,Secundar,2,,,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,,50 m²,Cotileț,80000
,Agenție,Nu,Individuală,,,3,Secundar,1,4000 cm,,Deschis,Apartament cu 1 cameră,4.0,Variantă albă,8 m²,16 m²,24 m²,Combinat,24500
,Agenție,1,Individuală,,,5,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,9.0,Reparație cosmetică,,,103 m²,,143000
,Agenție,1,Individuală,,,6,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 2 camere,6.0,Euroreparație,,147 m²,147 m²,Combinat,649999
,Agenție,,,,,4,Construcţii noi,1,,,,Apartament cu 2 camere,10.0,Euroreparație,,,65 m²,,150000
,Agenție,Nu,Individuală,,Estate Invest Company,4,Construcţii noi,2,,,,Apartament cu 2 camere,10.0,Construcție nefinisată,,,78 m²,Combinat,115500
,Dezvoltator imobiliar,,,,,2,Secundar,,0 cm,,,Apartament cu 2 camere,5.0,,0 m²,0 m²,47 m²,,87600
,Agenție,1,,,,3,Construcţii noi,1,,,,Apartament cu 2 camere,8.0,Euroreparație,,,51 m²,,134900
,Agenție,,,,,7,Construcţii noi,,,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,,45 m²,,89900
,Agenție,,,,Solomon Construct Imobil,3,Construcţii noi,,3 cm,Apartament cu living,,Apartament cu 2 camere,12.0,Variantă albă,,,74 m²,Combinat,99833
,Persoană fizică,,,,,1,Secundar,,,,Deschis,Apartament cu 2 camere,2.0,,,,56 m²,,20000
,Agenție,1,Individuală,,,3,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,4.0,Euroreparație,,,41 m²,,97000
,Persoană fizică,1,,,Exfactor-grup,6,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 1 cameră,13.0,Variantă albă,,,51 m²,,115000
,Agenție,,,,,8,Construcţii noi,2,,Apartament cu living,,Apartament cu 3 camere,8.0,Variantă albă,,,142 m²,,255600
Cu acordul stăpânului,Agenție,,Individuală,Cu acordul stăpânului,,1,Secundar,1,,,Deschis,Apartament cu 2 camere,3.0,Fără reparație,,,30 m²,,52000
,Agenție,2,,,,2,Construcţii noi,1,,,Deschis,Apartament cu 3 camere,4.0,Euroreparație,,,81 m²,Combinat,97000
,Agenție,,,,,2,Construcţii noi,,,,,Apartament cu 2 camere,3.0,Euroreparație,,,44 m²,,89900
,Agenție,1,,,,4,Construcţii noi,2,,Apartament cu living,,Apartament cu 2 camere,7.0,Fără reparație,1 m²,1 m²,82 m²,Combinat,200000
Cu acordul stăpânului,Agenție,1,Individuală,Cu acordul stăpânului,,10,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,17.0,Euroreparație,,,46 m²,,66000
,Agenție,1,Individuală,,Exfactor-grup,3,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,12.0,Euroreparație,,,50 m²,Cărămidă,145000
,Agenție,,,,,2,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,7.0,Euroreparație,,,96 m²,,195000
,Agenție,2,,,,5,Secundar,2,,,,Apartament cu 3 camere,5.0,Reparație cosmetică,,,87 m²,,139500
,Dezvoltator imobiliar,1,,,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,6.0,Variantă albă,,68 m²,68 m²,,51000
,Agenție,1,,,,8,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Variantă albă,,,74 m²,,119500
,Agenție,,,,,1,Secundar,,,,,Apartament cu 1 cameră,10.0,Euroreparație,,,38 m²,Panou,45000
,Agenție,Nu,,,,3,Secundar,1,,,Deschis,O cameră,5.0,Euroreparație,,,18 m²,Cotileț,34500
,Agenție,1,,,,5,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 3 camere,12.0,,,,85 m²,,170000
,Agenție,1,Individuală,,,4,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,6.0,Euroreparație,,,73 m²,,130000
,Agenție,,,,Inamstro,6,Construcţii noi,2,0 cm,,,Apartament cu 2 camere,6.0,Euroreparație,0 m²,0 m²,150 m²,,650000
,Dezvoltator imobiliar,3,,,,Penthouse,Construcţii noi,3,280 cm,,Deschis,Apartament cu 4 camere,10.0,Variantă albă,,,145 m²,Combinat,159500
,Agenție,,Individuală,,,9,Secundar,1,280 cm,,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,12 m²,18 m²,35 m²,Beton,64500
,Agenție,,,,Estate Invest Company,10,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,12.0,Euroreparație,,,66 m²,,109900
,Persoană fizică,1,,,,2,Construcţii noi,2,,Apartament cu living,,Apartament cu 2 camere,4.0,Variantă albă,,,70 m²,Monolit,130000
,Persoană fizică,1,Cş (Ceşka),,,5,Secundar,1,,,,Apartament cu 1 cameră,6.0,Reparație cosmetică,,,35 m²,,63900
Cu acordul stăpânului,Agenție,,,Se acceptă copii,,2,Construcţii noi,1,0 cm,,Subterană,Apartament cu 2 camere,6.0,Euroreparație,0 m²,0 m²,60 m²,,240000
,Dezvoltator imobiliar,,,,,14,Secundar,,0 cm,Apartament cu living,,Apartament cu 1 cameră,15.0,,0 m²,0 m²,37 m²,,71000
,Dezvoltator imobiliar,,,,,12,Construcţii noi,,2850 cm,,,Apartament cu 5 camere sau mai multe,12.0,Variantă albă,,171 m²,171 m²,,274272
,Agenție,Nu,,,,5,Secundar,1,,Apartament fără living,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,,42 m²,,45000
,Agenție,,,,,9,Construcţii noi,1,,Apartament cu living,,Apartament cu 1 cameră,9.0,Euroreparație,,,53 m²,,119900
,Agenție,,,,,5,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,15.0,,,,78 m²,,86053
,Agenție,,,,,1,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,4.0,,,,52 m²,,105900
,Agenție,,,,,6,Secundar,,0 cm,Apartament cu living,,Apartament cu 1 cameră,7.0,Reparație cosmetică,0 m²,0 m²,34 m²,,35900
,Agenție,Nu,,,,10,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,16.0,Variantă albă,,,56 m²,,90560
,Dezvoltator imobiliar,1,,,,4,Construcţii noi,1,290 cm,,Subterană,Apartament cu 2 camere,4.0,Variantă albă,25 m²,,80 m²,,79590
,Dezvoltator imobiliar,1,,,Inamstro,1,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,7.0,Euroreparație,,,76 m²,Cărămidă,159000
,Persoană fizică,2,,,,1,Construcţii noi,2,330 cm,,,Apartament cu 4 camere,13.0,,,,100 m²,,195000
,Agenție,,,,,9,Secundar,,,Apartament cu living,,Apartament cu 1 cameră,13.0,Construcție nefinisată,,,46 m²,,77520
,Agenție,1,,,,3,Construcţii noi,2,,Apartament cu living,,Apartament cu 3 camere,5.0,Euroreparație,,,100 m²,,160000
,Agenție,1,Individuală,,Solomon Construct Imobil,2,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,11.0,Euroreparație,,,65 m²,Cărămidă,134900
,Agenție,Nu,Individuală,,,5,Construcţii noi,1,,,Deschis,Apartament cu 3 camere,14.0,Euroreparație,,,90 m²,,225000
,Agenție,1,Individuală,,Eurovalcons,3,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,7.0,Variantă albă,,,35 m²,Combinat,53000
,Agenție,1,,,,4,Secundar,1,,Apartament fără living,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,25 m²,,40900
,Agenție,1,,,Lagmar Impex,5,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,12.0,Variantă albă,,,42 m²,,93500
,Agenție,1,Individuală,,,7,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,9.0,Variantă albă,,,45 m²,Combinat,54000
,Agenție,3,102,,,5,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,9.0,Variantă albă,,,80 m²,,134000
,Agenție,,,,Inamstro,3,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,12.0,,,,101 m²,,234000
,Agenție,1,,,,7,Construcţii noi,2,0 cm,,,Apartament cu 2 camere,10.0,Euroreparație,0 m²,0 m²,50 m²,,134000
,Agenție,,,,,3,Secundar,1,0 cm,,Deschis,Apartament cu 2 camere,3.0,Euroreparație,0 m²,0 m²,67 m²,,76000
,Agenție,1,,,,3,Construcţii noi,2,0 cm,,Deschis,Apartament cu 2 camere,9.0,Variantă albă,0 m²,0 m²,64 m²,,80000
,Persoană fizică,1,,Se acceptă copii,,5,Construcţii noi,1,,,Deschis,Apartament cu 3 camere,5.0,Euroreparație,,107 m²,100 m²,Cotileț,350000
,Persoană fizică,1,Individuală,,,2,Construcţii noi,1,300 cm,Apartament cu living,Subterană,Apartament cu 1 cameră,6.0,Euroreparație,,,74 m²,Cărămidă,240000
,Dezvoltator imobiliar,,,,,3,Construcţii noi,2,,,,Apartament cu 3 camere,5.0,,,,101 m²,Cărămidă,2275
,Dezvoltator imobiliar,,,,,12,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,12.0,Euroreparație,,,45 m²,,148000
,Agenție,1,,,,9,Construcţii noi,1,,Apartament cu living,,Apartament cu 2 camere,11.0,Euroreparație,,,65 m²,,183900
,Dezvoltator imobiliar,,,,Lagmar Impex,9,Construcţii noi,,,,,Apartament cu 2 camere,9.0,,,,68 m²,,80440
,Agenție,1,Individuală,,Lagmar Impex,12,Construcţii noi,2,,,Subterană,Apartament cu 3 camere,14.0,Variantă albă,,,76 m²,Combinat,155000
,Agenție,,,,,6,Secundar,2,,,Deschis,Apartament cu 3 camere,9.0,Fără reparație,,,70 m²,,57000
