animals,author_of_the_announcement,balcony_loggia,compartmentalization,children,developer,floor,housing_fund,bathroom,ceiling_height,living_room,parking_spot,number_of_rooms,number_of_floors,apartment_condition,kitchen_area,living_area,total_area,building_type,price,region,is_penthouse
,Persoană fizică,1,Individuală,,,5.0,Secundar,1.0,3.0,,Deschis,3,5.0,Euroreparație,,,50,Cotileț,117000,Chișinău_Centru,0
,Persoană fizică,,Individuală,,,1.0,Construcţii noi,1.0,,,,4,13.0,,,,102,,179000,Chișinău_Ciocana,0
,Agenție,,Individuală,,,4.0,Construcţii noi,1.0,,,Deschis,2,9.0,Euroreparație,,,47,,103900,Chișinău_Ciocana,0
,Agenție,1,Individuală,,,7.0,Construcţii noi,2.0,,Apartament cu living,,3,10.0,,,,81,,119000,Vatra_Centru,0
,Agenție,,Individuală,,,2.0,Secundar,1.0,,Apartament cu living,Deschis,2,5.0,Euroreparație,,,30,,70500,Chișinău_Râșcani,0
,Dezvoltator imobiliar,,Individuală,,Inamstro,8.0,Construcţii noi,1.0,,,,2,10.0,Variantă albă,,,40,,95000,Chișinău_Sculeni,0
,Dezvoltator imobiliar,1,Individuală,,Lagmar Impex,9.0,Construcţii noi,1.0,,Apartament cu living,Subterană,3,14.0,Euroreparație,,,76,Cărămidă,244900,Chișinău_Botanica,0
,Agenție,1,Individuală,,,6.0,Construcţii noi,1.0,,Apartament cu living,Subterană,4,13.0,Variantă albă,,88 m²,88,Cărămidă,105600,Chișinău_Telecentru,0
,Agenție,,Individuală,,,5.0,Secundar,1.0,0.0,,,2,6.0,Euroreparație,0 m²,0 m²,24,,38900,Chișinău_Centru,0
,Agenție,,Individuală,,,8.0,Construcţii noi,2.0,,Apartament cu living,Subterană,4,9.0,Variantă albă,,,89,,106800,Chișinău_Durlești,0
,Persoană fizică,2,Individuală,,,8.0,Construcţii noi,1.0,,,,5,10.0,Euroreparație,,,94,,155000,Chișinău_Ciocana,0
,Dezvoltator imobiliar,1,Individuală,,,3.0,Construcţii noi,1.0,,,Subterană,4,7.0,Variantă albă,,,69,,66930,Comrat_Centru,0
,Agenție,,Individuală,,,1.0,Secundar,1.0,,,,4,1.0,Reparație cosmetică,,,45,,110000,Chișinău_Centru,0
,Agenție,,Individuală,,,10.0,Construcţii noi,2.0,,Apartament cu living,,4,10.0,Euroreparație,,,161,,350000,Chișinău_Buiucani,0
,Dezvoltator imobiliar,,Individuală,,,1.0,Construcţii noi,1.0,,,,2,8.0,,,,49,,95000,Chișinău_Telecentru,0
,Agenție,1,Individuală,,,2.0,Secundar,1.0,,,Deschis,3,5.0,Euroreparație,,,47,,86700,Chișinău_Botanica,0
,Agenție,,Individuală,,,1.0,Secundar,1.0,,Apartament cu living,,2,4.0,,,,44,,83900,Chișinău_Râșcani,0
,Agenție,1,Individuală,,,5.0,Construcţii noi,2.0,,Apartament cu living,Deschis,5,10.0,Variantă albă,20 m²,162 m²,162,Cărămidă,162000,Chișinău_Durlești,1
